Owner,Player,Standard name,,Position,Price,Spend rank,Actual,Top Starter Bonus,Actual Among Drafted,Count drafted positions,Differential Actual,Differential Among Drafted,Differential Among Drafted w Bonus
Duncan,Bears Defense,Chicago,DuncanChicago,D,21000,3,1,8,1,14,2,2,10
Luke,Houston D,Houston,LukeHouston,D,"10,000",5,7,2,3,14,-2,2,4
Luke,Matt Prader,Matt Prater,LukeMatt Prater,K,1000,6,7,2,2,14,-1,4,6
Krista,Packers,Green Bay,KristaGreen Bay,D,1000,6,14,,4,12,-8,2,2
Bryan,Lions Defense,Detroit,BryanDetroit,D,73000,2,29,,5,14,-27,-3,-3
Patrick,Philly Defense,Philadelphia,PatrickPhiladelphia,D,"20,000",4,32,,6,10,-28,-2,-2
Scott Gunter,Steven Goskowski,Stephen Gostkowski,ScottStephen Gostkowski,K,"60,000",2,2,7,1,9,0,1,8
Kevin,Drew Brees,Drew Brees,KJDrew Brees,QB,"2,900,000",5,1,12,1,14,4,4,16
Duncan,David Akers,David Akers,DuncanDavid Akers,K,"100,000",1,8,1,3,14,-7,-2,-1
Krista,"Janiikowski, Sebastien",Sebastian Janikowski,KristaSebastian Janikowski,K,"50,000",3,11,,4,12,-8,-1,-1
Luke,Doug Martin,Doug Martin,LukeDoug Martin,RB,"200,000",16,2,15,2,14,14,14,29
Kevin,Alex Henery,Alex Henery,KJAlex Henery,K,4000,5,17,,6,14,-12,-1,-1
Bryan,Gerret Hartley,Garrett Hartley,BryanGarrett Hartley,K,1000,6,18,,7,14,-12,-1,-1
Duncan,Aaron Rogers,Aaron Rodgers,DuncanAaron Rodgers,QB,"4,000,000",1,2,11,2,14,-1,-1,10
Scott Gunter,Tom Brady,Tom Brady,ScottTom Brady,QB,"3,600,000",2,3,10,3,9,-1,-1,9
Patrick,Cam Newton,Cam Newton,PatrickCam Newton,QB,"3,300,000",3,4,9,4,10,-1,-1,8
Patrick,RG3,Robert Griffin III,PatrickRobert Griffin III,QB,"220,000",9,5,8,5,10,4,4,12
Bryan,Payton Manning,Peyton Manning,BryanPeyton Manning,QB,"350,000",6,6,7,6,14,0,0,7
Krista,Matt Ryan,Matt Ryan,KristaMatt Ryan,QB,"36,000",11,7,6,7,12,4,4,10
Mark,Tony Romo,Tony Romo,MarkTony Romo,QB,"350,000",6,8,5,8,9,-2,-2,3
Luke,Arian Foster,Arian Foster,LukeArian Foster,RB,"5,000,000",1,3,14,3,14,-2,-2,12
Krista,Matthew Stafford,Matthew Stafford,KristaMatthew Stafford,QB,"3,200,000",4,11,2,9,12,-7,-5,-3
Bryan,Eli Manning,Eli Manning,BryanEli Manning,QB,"60,000",10,15,,10,14,-5,0,0
Duncan,Ben Rothlesburger,Ben Roethlisberger,DuncanBen Roethlisberger,QB,6000,12,18,,11,14,-6,1,1
Luke,Frank Gore,Frank Gore,LukeFrank Gore,RB,"50,000",20,10,7,9,14,10,11,18
Scott Gunter,Adrian Peterson,Adrian Peterson,ScottAdrian Peterson,RB,"2,500,000",6,1,16,1,9,5,5,21
Luke,Darren McFadden,Darren McFadden,LukeDarren McFadden,RB,"2,400,000",7,27,,22,14,-20,-15,-15
Luke,Ben Tate,Ben Tate,LukeBen Tate,RB,"219,000",15,45,,27,14,-30,-12,-12
Kevin,Marshawn Lynch,Marshawn Lynch,KJMarshawn Lynch,RB,"1,000,000",12,4,13,4,14,8,8,21
Duncan,Ray Rice,Ray Rice,DuncanRay Rice,RB,"4,000,000",2,6,11,5,14,-4,-3,8
Kevin,CJ Spiller,C.J. Spiller,KJC.J. Spiller,RB,4000,27,7,10,6,14,20,21,31
Patrick,Jamaal Charles,Jamaal Charles,PatrickJamaal Charles,RB,"900,000",13,8,9,7,10,5,6,15
Luke,Jeremichael Finley,Jermichael Finley,LukeJermichael Finley,TE,"60,000",7,18,,7,14,-11,0,0
Luke,AJ Green,A.J. Green,LukeA.J. Green,WR,"700,000",9,4,21,4,14,5,5,26
Bryan,Matt Forte,Matt Forte,BryanMatt Forte,RB,"1,700,000",9,12,5,10,14,-3,-1,4
Krista,Chris Johnson,Chris Johnson,KristaChris Johnson,RB,"3,500,000",5,13,4,11,12,-8,-6,-2
Kevin,Reggie Bush,Reggie Bush,KJReggie Bush,RB,"35,000",22,14,3,12,14,8,10,13
Duncan,Shonn Green,Shonn Greene,DuncanShonn Greene,RB,2000,28,15,2,13,14,13,15,17
Kevin,Steven Jackson,Steven Jackson,KJSteven Jackson,RB,"150,000",17,16,1,14,14,1,3,4
Bryan,Amahd Bradshaw,Ahmad Bradshaw,BryanAhmad Bradshaw,RB,"40,000",21,17,,15,14,4,6,6
Kevin,Benjarvis Green Ellis,Benjarvus Green Ellis,KJBenjarvus Green Ellis,RB,1000,29,18,,16,14,11,13,13
Patrick,LeSean McCoy,LeSean McCoy,PatrickLeSean McCoy,RB,"4,000,000",2,20,,17,10,-18,-15,-15
Scott Gunter,Ryan Matthews,Ryan Mathews,ScottRyan Mathews,RB,"2,100,000",8,20,,18,9,-12,-10,-10
Duncan,Darren Sproles,Darren Sproles,DuncanDarren Sproles,RB,"100,000",19,21,,19,14,-2,0,0
Duncan,Michael Turner,Michael Turner,DuncanMichael Turner,RB,"150,000",17,22,,20,14,-5,-3,-3
Luke,Damarious Thomas,Demaryius Thomas,LukeDemaryius Thomas,WR,"400,000",17,5,20,5,14,12,12,32
Luke,Reggie Wayne,Reggie Wayne,LukeReggie Wayne,WR,"10,000",28,15,10,14,14,13,14,24
Scott Gunter,Isaac Redman,Isaac Redman,ScottIsaac Redman,RB,"35,000",22,30,,23,9,-8,-1,-1
Patrick,Roy Helu,Roy Helu,PatrickRoy Helu,RB,"10,000",24,36,,24,10,-12,0,0
Krista,Fred Jackson,Fred Jackson,KristaFred Jackson,RB,"800,000",14,39,,25,12,-25,-11,-11
Krista,Michael Bush,Michael Bush,KristaMichael Bush,RB,1000,29,42,,26,12,-13,3,3
Luke,Miles Austin,Miles Austin,LukeMiles Austin,WR,"250,000",18,26,,19,14,-8,-1,-1
Krista,Beanie Wells,Beanie Wells,KristaBeanie Wells,RB,5000,26,45,,28,12,-19,-2,-2
Bryan,Maurice Jones Drew,Maurice Jones-Drew,BryanMaurice Jones-Drew,RB,"3,600,000",4,49,,29,14,-45,-25,-25
Bryan,Peyton Hillis,Peyton Hillis,BryanPeyton Hillis,RB,"10,000",24,90,,30,14,-66,-6,-6
Kevin,Willis McGahey,Willis McGahee,KJWillis McGahee,RB,1000,29,126,,31,14,-97,-2,-2
Kevin,Jimmy Graham,Jimmy Graham,KJJimmy Graham,TE,"2,000,000",2,1,8,1,14,1,1,9
Bryan,Rob Gronkowski,Rob Gronkowski,BryanRob Gronkowski,TE,"2,500,000",1,2,7,2,14,-1,-1,6
Luke,Hakeem Nicks,Hakeem Nicks,LukeHakeem Nicks,WR,"450,000",14,54,,27,14,-40,-13,-13
Duncan,Aaron Hernandez,Aaron Hernandez,DuncanAaron Hernandez,TE,"130,000",5,6,3,4,14,-1,1,4
Scott Gunter,Antonio Gates,Antonio Gates,ScottAntonio Gates,TE,"300,000",3,12,,5,9,-9,-2,-2
Patrick,Vernon Davis,Vernon Davis,PatrickVernon Davis,TE,"40,000",8,15,,6,10,-7,2,2
Mark,49ers Defense,San Francisco,MarkSan Francisco,D,"350,000",1,6,3,2,9,-5,-1,2
Krista,Fred Davis,Fred Davis,KristaFred Davis,TE,"130,000",5,44,,8,12,-39,-3,-3
Mark,Mason Crosby,Mason Crosby,MarkMason Crosby,K,"50,000",3,14,,5,9,-11,-2,-2
Luke,Michael Vick,Michael Vick,LukeMichael Vick,QB,"250,000",8,27,,12,14,-19,-4,-4
Mark,Trent Richardson,Trent Richardson,MarkTrent Richardson,RB,"1,500,000",11,9,8,8,9,2,3,11
Mark,DeMarco Murray,DeMarco Murray,MarkDeMarco Murray,RB,"1,700,000",9,26,,21,9,-17,-12,-12
Mark,Jason Witten,Jason Witten,MarkJason Witten,TE,"250,000",4,5,4,3,9,-1,1,5
Krista,Vincent Jackson,Vincent Jackson,KristaVincent Jackson,WR,"125,000",23,6,19,6,12,17,17,36
Bryan,Eric Decker,Eric Decker,BryanEric Decker,WR,"36,000",26,7,18,7,14,19,19,37
Duncan,Andre Johnson,Andre Johnson,DuncanAndre Johnson,WR,"1,200,000",5,8,17,8,14,-3,-3,14
Scott Gunter,Julio Jones,Julio Jones,ScottJulio Jones,WR,"1,300,000",4,9,16,9,9,-5,-5,11
Kevin,Roddy White,Roddy White,KJRoddy White,WR,"1,200,000",5,10,15,10,14,-5,-5,10
Bryan,Marques Colston,Marques Colston,BryanMarques Colston,WR,"450,000",14,11,14,11,14,3,3,17
Krista,Wes Welker,Wes Welker,KristaWes Welker,WR,"650,000",11,12,13,12,12,-1,-1,12
Krista,Victor Cruz,Victor Cruz,KristaVictor Cruz,WR,"1,500,000",3,13,12,13,12,-10,-10,2
Mark,Calvin Johnson,Calvin Johnson,MarkCalvin Johnson,WR,"4,000,000",1,1,24,1,9,0,0,24
Bryan,Steve Smith,Steve Smith Sr.,BryanSteve Smith Sr.,WR,"450,000",14,19,6,15,14,-5,-1,5
Duncan,Steve Johnson,Steve Johnson,DuncanSteve Johnson,WR,"30,000",27,21,4,16,14,6,11,15
Kevin,Torrey Smith,Torrey Smith,KJTorrey Smith,WR,1000,32,24,1,17,14,8,15,16
Kevin,Mike Wallace,Mike Wallace,KJMike Wallace,WR,"500,000",13,25,,18,14,-12,-5,-5
Mark,Brandon Marshall,Brandon Marshall,MarkBrandon Marshall,WR,"1,100,000",7,2,23,2,9,5,5,28
Patrick,Jeremy Maclin,Jeremy Maclin,PatrickJeremy Maclin,WR,"250,000",18,27,,20,10,-9,-2,-2
Bryan,Brandon Lloyd,Brandon Lloyd,BryanBrandon Lloyd,WR,"180,000",21,28,,21,14,-7,0,0
Bryan,Jordy Nelsonl,Jordy Nelson,BryanJordy Nelson,WR,"550,000",12,30,,22,14,-18,-10,-10
Duncan,Percy Harvin,Percy Harvin,DuncanPercy Harvin,WR,"250,000",18,40,,23,14,-22,-5,-5
Scott Gunter,Antonio Brown,Antonio Brown,ScottAntonio Brown,WR,"55,000",24,41,,24,9,-17,0,0
Kevin,Larry Fitzgerald,Larry Fitzgerald,KJLarry Fitzgerald,WR,"2,200,000",2,43,,25,14,-41,-23,-23
Patrick,Dwayne Bowe,Dwayne Bowe,PatrickDwayne Bowe,WR,"160,000",22,48,,26,10,-26,-4,-4
Mark,Dez Bryant,Dez Bryant,MarkDez Bryant,WR,"700,000",9,3,22,3,9,6,6,28
Scott Gunter,Kenny Britt,Kenny Britt,ScottKenny Britt,WR,"50,000",25,57,,28,9,-32,-3,-3
Duncan,DeSean Jackson,DeSean Jackson,DuncanDeSean Jackson,WR,5000,30,58,,29,14,-28,1,1
Patrick,Greg Jennings,Greg Jennings,PatrickGreg Jennings,WR,"1,100,000",7,69,,30,10,-62,-23,-23
Kevin,Titus Young,Titus Young,KJTitus Young,WR,4000,31,75,,31,14,-44,0,0
Duncan,Robert Meachem,Robert Meachem,DuncanRobert Meachem,WR,6000,29,101,,32,14,-72,-3,-3
