,Unnamed: 0,team_key,name,rank,playoff_seed,outcome_totals,streak,points_for,points_against,wins,losses,ties,percentage,moves,faab_balance,league_key,team_id,league_id,manager_key,rs_score,diff,p_score,playoff_wins,league_url,season,manager,p_score_revised
0,0,175.l.580505.t.3,The Schwaggerts,1,2.0,"{'wins': '7', 'losses': '6', 'ties': '1', 'percentage': '.536'}","{'type': 'loss', 'value': '3'}",971.0,1013.0,7,6,1,0.536,8,2,175.l.580505,3,580505,580505.3,971.0,0.0,174.0,2,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Patrick,174.0
1,1,175.l.580505.t.6,Free Win,2,1.0,"{'wins': '11', 'losses': '2', 'ties': '1', 'percentage': '.821'}","{'type': 'win', 'value': '2'}",1098.0,860.0,11,2,1,0.821,31,1,175.l.580505,6,580505,580505.6,1098.0,0.0,151.0,1,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Duncan,151.0
2,2,175.l.580505.t.2,Lukedog,3,3.0,"{'wins': '7', 'losses': '6', 'ties': '1', 'percentage': '.536'}","{'type': 'win', 'value': '2'}",914.0,1055.0,7,6,1,0.536,36,0,175.l.580505,2,580505,580505.2,914.0,0.0,117.0,1,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Luke,117.0
3,3,175.l.580505.t.5,Purple Rain,4,4.0,"{'wins': '5', 'losses': '8', 'ties': '1', 'percentage': '.393'}","{'type': 'loss', 'value': '2'}",964.0,1010.0,5,8,1,0.393,20,1,175.l.580505,5,580505,580505.5,964.0,0.0,109.0,0,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Kevin,109.0
4,4,175.l.580505.t.1,Philadelphia Freedom,5,6.0,"{'wins': '5', 'losses': '9', 'ties': 0, 'percentage': '.357'}","{'type': 'win', 'value': '1'}",973.0,1035.0,5,9,0,0.357,16,0,175.l.580505,1,580505,580505.1,973.0,0.0,68.0,1,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Ryan,
5,5,175.l.580505.t.4,The Phenomenators,6,5.0,"{'wins': '5', 'losses': '9', 'ties': 0, 'percentage': '.357'}","{'type': 'loss', 'value': '1'}",1201.0,1148.0,5,9,0,0.357,14,2,175.l.580505,4,580505,580505.4,1201.0,0.0,66.0,0,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Mark,
6,6,222.l.790872.t.3,571itsgoindown,1,4.0,"{'wins': '6', 'losses': '6', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '4'}",1197.28,1210.64,6,6,0,0.5,11,0,222.l.790872,3,790872,790872.3,1197.28,0.0,343.36,3,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Luke,343.36
7,7,222.l.790872.t.4,Nashville Stranglers,2,3.0,"{'wins': '7', 'losses': '5', 'ties': 0, 'percentage': '.583'}","{'type': 'win', 'value': '2'}",1152.02,1083.16,7,5,0,0.583,19,0,222.l.790872,4,790872,790872.4,1152.02,0.0,326.3,2,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Stuart,326.3
8,8,222.l.790872.t.6,BeadsMeOff,3,2.0,"{'wins': '7', 'losses': '5', 'ties': 0, 'percentage': '.583'}","{'type': 'loss', 'value': '1'}",1203.88,1112.64,7,5,0,0.583,27,0,222.l.790872,6,790872,790872.6,1203.88,0.0,181.38,1,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Duncan,181.38
9,9,222.l.790872.t.2,EveryoneIsGayButMe,4,1.0,"{'wins': '8', 'losses': '4', 'ties': 0, 'percentage': '.667'}","{'type': 'win', 'value': '6'}",1242.24,1139.08,8,4,0,0.667,12,1,222.l.790872,2,790872,790872.2,1242.24,0.0,156.24,0,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Patrick,156.24
10,10,222.l.790872.t.8,SuperStunnaFoSho,5,5.0,"{'wins': '6', 'losses': '6', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '1'}",1164.04,1163.46,6,6,0,0.5,20,1,222.l.790872,8,790872,790872.8,1164.04,0.0,213.34,1,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Mark,213.34
11,11,222.l.790872.t.1,LiveFree or DieFavre,6,6.0,"{'wins': '5', 'losses': '7', 'ties': 0, 'percentage': '.417'}","{'type': 'win', 'value': '1'}",1179.06,1222.78,5,7,0,0.417,14,0,222.l.790872,1,790872,790872.1,1179.06,0.0,187.18,0,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Kevin,187.18
12,12,222.l.790872.t.5,ATL is BOSS,7,,"{'wins': '5', 'losses': '7', 'ties': 0, 'percentage': '.417'}","{'type': 'win', 'value': '1'}",1161.64,1204.92,5,7,0,0.417,17,2,222.l.790872,5,790872,790872.5,1161.64,0.0,,0,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Scott Gunter,
13,13,222.l.790872.t.7,the snitch squad,8,,"{'wins': '4', 'losses': '8', 'ties': 0, 'percentage': '.333'}","{'type': 'loss', 'value': '6'}",959.96,1123.44,4,8,0,0.333,7,0,222.l.790872,7,790872,790872.7,959.96,0.0,,0,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,David Casstevens (Invalid Season),
14,14,242.l.438659.t.3,RomoSexualTendencies,1,1.0,"{'wins': '11', 'losses': '2', 'ties': 0, 'percentage': '.846'}","{'type': 'win', 'value': '7'}",1299.5,1086.02,11,2,0,0.846,23,0,242.l.438659,3,438659,438659.3,1299.5,0.0,208.46,2,https://football.fantasysports.yahoo.com/2010/f1/438659,2010,Mark,208.46
15,15,242.l.438659.t.1,It's a Vick in a box,2,2.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '4'}",1261.5,1159.56,8,5,0,0.615,23,1,242.l.438659,1,438659,438659.1,1261.5,0.0,152.76,1,https://football.fantasysports.yahoo.com/2010/f1/438659,2010,Scott Gunter,152.76
16,16,242.l.438659.t.8,ImOnCalvinsJohnson,3,5.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1403.06,1345.4,7,6,0,0.538,48,2,242.l.438659,8,438659,438659.8,1403.06,0.0,307.0,2,https://football.fantasysports.yahoo.com/2010/f1/438659,2010,Bryan,307.0
17,17,242.l.438659.t.4,MyDickIsLikeSuperBig,4,6.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'win', 'value': '1'}",1194.72,1369.6,4,9,0,0.308,15,3,242.l.438659,4,438659,438659.4,1194.72,0.0,247.68,1,https://football.fantasysports.yahoo.com/2010/f1/438659,2010,Patrick,247.68
18,18,242.l.438659.t.5,Brady Gaga,5,3.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'loss', 'value': '3'}",1233.58,1206.52,8,5,0,0.615,19,1,242.l.438659,5,438659,438659.5,1233.58,0.0,203.44,1,https://football.fantasysports.yahoo.com/2010/f1/438659,2010,Krista,203.44
19,19,242.l.438659.t.2,Big Ole TD's,6,4.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '3'}",1455.42,1269.02,7,6,0,0.538,24,1,242.l.438659,2,438659,438659.2,1455.42,0.0,148.16,0,https://football.fantasysports.yahoo.com/2010/f1/438659,2010,Kevin,148.16
20,20,242.l.438659.t.6,Oober Gey,7,7.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '2'}",1119.38,1269.18,4,9,0,0.308,27,0,242.l.438659,6,438659,438659.6,1119.38,2.27e-13,75.0,1,https://football.fantasysports.yahoo.com/2010/f1/438659,2010,Scott Gunter,75.0
21,21,242.l.438659.t.7,BeadsMeOff,8,8.0,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '6'}",1013.76,1275.62,3,10,0,0.231,47,2,242.l.438659,7,438659,438659.7,1013.76,0.0,42.2,0,https://football.fantasysports.yahoo.com/2010/f1/438659,2010,Duncan,42.2
22,22,257.l.211725.t.6,AndreHasAHuge...,1,1.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '1'}",1456.6,1285.08,9,4,0,0.692,32,0,257.l.211725,6,211725,211725.6,1456.6,0.0,259.0,2,https://football.fantasysports.yahoo.com/2011/f1/211725,2011,Luke,259.0
23,23,257.l.211725.t.8,BeadsMeOff,2,6.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '1'}",1194.88,1312.72,5,8,0,0.385,47,1,257.l.211725,8,211725,211725.8,1194.88,0.0,343.8,2,https://football.fantasysports.yahoo.com/2011/f1/211725,2011,Duncan,343.8
24,24,257.l.211725.t.1,andiwaslike...Julio!,3,2.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'loss', 'value': '1'}",1338.34,1285.54,9,4,0,0.692,20,1,257.l.211725,1,211725,211725.1,1338.34,0.0,224.96,1,https://football.fantasysports.yahoo.com/2011/f1/211725,2011,Scott Gunter,224.96
25,25,257.l.211725.t.2,ThatsWhyYourWinslow,4,5.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1356.58,1239.7,7,6,0,0.538,33,2,257.l.211725,2,211725,211725.2,1356.58,0.0,331.24,1,https://football.fantasysports.yahoo.com/2011/f1/211725,2011,Bryan,331.24
26,26,257.l.211725.t.4,Big Ole TD's,5,4.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '3'}",1356.72,1345.2,8,5,0,0.615,19,0,257.l.211725,4,211725,211725.4,1356.72,0.0,210.06,1,https://football.fantasysports.yahoo.com/2011/f1/211725,2011,Kevin,210.06
27,27,257.l.211725.t.5,2ManyUrkelsOnUrTeam,6,3.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1417.46,1319.68,8,5,0,0.615,29,0,257.l.211725,5,211725,211725.5,1417.46,0.0,168.44,0,https://football.fantasysports.yahoo.com/2011/f1/211725,2011,Patrick,168.44
28,28,257.l.211725.t.7,RomoSexualTendencies,7,7.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'win', 'value': '1'}",1246.98,1422.84,4,9,0,0.308,30,1,257.l.211725,7,211725,211725.7,1246.98,0.0,72.0,1,https://football.fantasysports.yahoo.com/2011/f1/211725,2011,Mark,72.0
29,29,257.l.211725.t.3,Casselblanca,8,8.0,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '2'}",1168.1,1324.9,2,11,0,0.154,11,1,257.l.211725,3,211725,211725.3,1168.1,0.0,60.7,0,https://football.fantasysports.yahoo.com/2011/f1/211725,2011,Krista,60.7
30,30,273.l.324073.t.2,BeadsMeOff,1,1.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '1'}",1360.94,1216.54,10,3,0,0.769,36,0,273.l.324073,2,324073,324073.2,1360.94,0.0,241.32,2,https://football.fantasysports.yahoo.com/2012/f1/324073,2012,Duncan,241.32
31,31,273.l.324073.t.1,TheSandusky9(YrOlds),2,2.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '7'}",1307.32,1180.08,9,4,0,0.692,27,4,273.l.324073,1,324073,324073.1,1307.32,0.0,210.7,1,https://football.fantasysports.yahoo.com/2012/f1/324073,2012,Scott Gunter,210.7
32,32,273.l.324073.t.6,Boba Fett's Bounty,3,4.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '3'}",1288.78,1267.08,7,6,0,0.538,24,1,273.l.324073,6,324073,324073.6,1288.78,0.0,355.08,2,https://football.fantasysports.yahoo.com/2012/f1/324073,2012,Kevin,355.08
33,33,273.l.324073.t.5,AndreHasAHuge...,4,3.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '2'}",1378.5,1294.7,8,5,0,0.615,21,0,273.l.324073,5,324073,324073.5,1378.5,0.0,256.14,1,https://football.fantasysports.yahoo.com/2012/f1/324073,2012,Luke,256.14
34,34,273.l.324073.t.8,SmittenForWitten,5,6.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '1'}",1262.7,1272.48,5,8,0,0.385,21,5,273.l.324073,8,324073,324073.8,1262.7,0.0,196.26,1,https://football.fantasysports.yahoo.com/2012/f1/324073,2012,Mark,196.26
35,35,273.l.324073.t.3,BreesInTheTrap,6,5.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '1'}",1255.3,1231.84,6,7,0,0.462,28,2,273.l.324073,3,324073,324073.3,1255.3,0.0,151.38,0,https://football.fantasysports.yahoo.com/2012/f1/324073,2012,Bryan,151.38
36,36,273.l.324073.t.4,Tootsie Sproles,7,8.0,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '4'}",1100.16,1397.78,2,11,0,0.154,25,2,273.l.324073,4,324073,324073.4,1100.16,0.0,84.66,1,https://football.fantasysports.yahoo.com/2012/f1/324073,2012,Krista,84.66
37,37,273.l.324073.t.7,PD3,8,7.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '1'}",1211.4,1304.6,5,8,0,0.385,36,4,273.l.324073,7,324073,324073.7,1211.4,0.0,73.52,0,https://football.fantasysports.yahoo.com/2012/f1/324073,2012,Patrick,73.52
38,38,314.l.378899.t.3,Breezus,1,4.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '5'}",1427.34,1314.78,7,6,0,0.538,17,2,314.l.378899,3,378899,378899.3,1427.34,0.0,437.88,3,https://football.fantasysports.yahoo.com/2013/f1/378899,2013,Bryan,437.88
39,39,314.l.378899.t.6,AndreHasAHuge...,2,2.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '3'}",1378.74,1289.84,8,5,0,0.615,47,1,314.l.378899,6,378899,378899.6,1378.74,0.0,218.78,1,https://football.fantasysports.yahoo.com/2013/f1/378899,2013,Luke,218.78
40,40,314.l.378899.t.8,2CDezNuts,3,1.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '2'}",1415.96,1259.44,9,4,0,0.692,22,3,314.l.378899,8,378899,378899.8,1415.96,0.0,197.76,1,https://football.fantasysports.yahoo.com/2013/f1/378899,2013,Mark,197.76
41,41,314.l.378899.t.4,RG-3PO,4,6.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '3'}",1267.86,1386.58,5,8,0,0.385,18,1,314.l.378899,4,378899,378899.4,1267.86,0.0,290.04,1,https://football.fantasysports.yahoo.com/2013/f1/378899,2013,Krista,290.04
42,42,314.l.378899.t.2,BeadsMeOff,5,3.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'loss', 'value': '2'}",1289.86,1174.1,8,5,0,0.615,29,1,314.l.378899,2,378899,378899.2,1289.86,0.0,194.08,1,https://football.fantasysports.yahoo.com/2013/f1/378899,2013,Duncan,194.08
43,43,314.l.378899.t.5,IBeSpeakinSwaghili,6,5.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1318.28,1324.06,7,6,0,0.538,34,1,314.l.378899,5,378899,378899.5,1318.28,0.0,176.72,0,https://football.fantasysports.yahoo.com/2013/f1/378899,2013,Patrick,176.72
44,44,314.l.378899.t.1,Jacquizz Stains,7,8.0,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'win', 'value': '1'}",1147.32,1311.76,3,10,0,0.231,28,0,314.l.378899,1,378899,378899.1,1147.32,0.0,138.12,1,https://football.fantasysports.yahoo.com/2013/f1/378899,2013,Scott Gunter,138.12
45,45,314.l.378899.t.7,Chalupa Batman,8,7.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '4'}",1191.0,1375.8,5,8,0,0.385,29,1,314.l.378899,7,378899,378899.7,1191.0,0.0,98.68,0,https://football.fantasysports.yahoo.com/2013/f1/378899,2013,Kevin,98.68
46,46,331.l.329823.t.6,DEZstiny,1,3.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1265.36,1271.56,7,6,0,0.538,38,3,331.l.329823,6,329823,329823.6,1265.36,0.0,329.8,3,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,David Casstevens,329.8
47,47,331.l.329823.t.5,TURN DOWN 4 WATT,2,4.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1379.78,1339.94,6,7,0,0.462,23,1,331.l.329823,5,329823,329823.5,1379.78,0.0,271.02,2,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Krista,271.02
48,48,331.l.329823.t.4,Breezus,3,2.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '7'}",1292.28,1160.06,10,3,0,0.769,33,3,331.l.329823,4,329823,329823.4,1292.28,0.0,181.24,1,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Bryan,181.24
49,49,331.l.329823.t.10,IBeSpeakinSwaghili,4,1.0,"{'wins': '12', 'losses': '1', 'ties': 0, 'percentage': '.923'}","{'type': 'win', 'value': '3'}",1454.1,1086.44,12,1,0,0.923,34,3,331.l.329823,10,329823,329823.1,1454.1,0.0,154.74,0,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Patrick,215.4
50,50,331.l.329823.t.8,TakeItToTheHauschka,5,6.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1206.06,1242.8,6,7,0,0.462,33,4,331.l.329823,8,329823,329823.8,1206.06,0.0,198.5,1,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Mark,198.5
51,51,331.l.329823.t.2,BeadsMeOff,6,5.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '1'}",1243.68,1232.12,6,7,0,0.462,39,6,331.l.329823,2,329823,329823.2,1243.68,0.0,177.54,0,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Duncan,177.54
52,52,331.l.329823.t.1,It Hurts When Eifert,7,7.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '2'}",1146.5,1170.26,6,7,0,0.462,24,1,331.l.329823,1,329823,329823.1,1146.5,0.0,215.4,2,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Scott Gunter,215.4
53,53,331.l.329823.t.3,AndreHasAHuge...,8,9.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '3'}",1233.42,1399.8,4,9,0,0.308,20,0,331.l.329823,3,329823,329823.3,1233.42,0.0,164.02,1,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Luke,164.02
54,54,331.l.329823.t.7,White Cassel,9,10.0,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '2'}",1187.06,1435.16,3,10,0,0.231,22,0,331.l.329823,7,329823,329823.7,1187.06,0.0,164.7,1,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Kevin,164.7
55,55,331.l.329823.t.9,CantStopWontStop,10,8.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '2'}",1086.66,1156.76,5,8,0,0.385,30,1,331.l.329823,9,329823,329823.9,1086.66,0.0,115.2,0,https://football.fantasysports.yahoo.com/2014/f1/329823,2014,Benjamin,115.2
56,56,348.l.216667.t.7,Abdullah Matata,1,2.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '2'}",1257.24,1216.26,9,4,0,0.692,23,5,348.l.216667,7,216667,216667.7,1257.24,0.0,190.0,2,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Mark,190.0
57,57,348.l.216667.t.10,IBeSpeakinSwaghili,2,1.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'loss', 'value': '2'}",1361.94,1189.22,9,4,0,0.692,50,2,348.l.216667,10,216667,216667.1,1361.94,0.0,208.28,1,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Patrick,210.26
58,58,348.l.216667.t.2,Cooks & Books,3,3.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '2'}",1362.3,1245.08,8,5,0,0.615,40,3,348.l.216667,2,216667,216667.2,1362.3,0.0,309.32,2,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Duncan,309.32
59,59,348.l.216667.t.3,1st Back2Back,4,5.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1211.46,1201.66,8,5,0,0.615,46,2,348.l.216667,3,216667,216667.3,1211.46,0.0,297.26,1,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,David Casstevens,297.26
60,60,348.l.216667.t.1,JULIO! JULIO! JULIO!,5,6.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",1205.2,1224.02,7,6,0,0.538,56,1,348.l.216667,1,216667,216667.1,1205.2,0.0,210.26,1,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Scott Gunter,210.26
61,61,348.l.216667.t.8,Breezus,6,4.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'loss', 'value': '1'}",1266.16,1169.08,8,5,0,0.615,28,2,348.l.216667,8,216667,216667.8,1266.16,0.0,144.92,0,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Bryan,144.92
62,62,348.l.216667.t.6,CantStopWontStop,7,8.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'win', 'value': '1'}",1275.92,1343.18,4,9,0,0.308,23,1,348.l.216667,6,216667,216667.6,1275.92,0.0,168.82,2,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Benjamin,168.82
63,63,348.l.216667.t.5,Luke use the Forsett,8,7.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1193.52,1248.96,7,6,0,0.538,33,0,348.l.216667,5,216667,216667.5,1193.52,0.0,179.22,1,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Luke,179.22
64,64,348.l.216667.t.4,WAIVER!!,9,10.0,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '2'}",1089.74,1284.56,2,11,0,0.154,24,2,348.l.216667,4,216667,216667.4,1089.74,0.0,208.82,1,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Krista,208.82
65,65,348.l.216667.t.9,More Than A Thielen,10,9.0,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '3'}",1219.52,1320.98,3,10,0,0.231,38,0,348.l.216667,9,216667,216667.9,1219.52,0.0,200.7,0,https://football.fantasysports.yahoo.com/2015/f1/216667,2015,Kevin,200.7
66,66,359.l.370526.t.1,UKnoNothinJonSnorlax,1,2.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'loss', 'value': '1'}",1715.55,1542.84,10,3,0,0.769,47,1,359.l.370526,1,370526,370526.1,1715.55,0.0,291.98,2,https://football.fantasysports.yahoo.com/2016/f1/370526,2016,Scott Gunter,291.98
67,67,359.l.370526.t.10,OBJYN,2,1.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'loss', 'value': '1'}",1853.79,1603.02,10,3,0,0.769,22,1,359.l.370526,10,370526,370526.1,1853.79,0.0,300.95,1,https://football.fantasysports.yahoo.com/2016/f1/370526,2016,Krista,291.98
