league_key,league_id,name,url,logo_url,draft_status,num_teams,edit_key,weekly_deadline,league_update_timestamp,scoring_type,league_type,renew,renewed,felo_tier,iris_group_chat_id,allow_add_to_dl_extra_pos,is_pro_league,is_cash_league,current_week,start_week,start_date,end_week,end_date,is_finished,game_code,season,draft_type,is_auction_draft,persistent_url,uses_playoff,has_playoff_consolation_games,playoff_start_week,uses_playoff_reseeding,uses_lock_eliminated_teams,num_playoff_teams,num_playoff_consolation_teams,has_multiweek_championship,waiver_type,waiver_rule,uses_faab,draft_time,post_draft_players,max_teams,waiver_time,trade_end_date,trade_ratify_type,trade_reject_time,player_pool,cant_cut_list,draft_together,sendbird_channel_url,stat_modifiers,pickem_enabled,uses_fractional_points,uses_negative_points,max_adds,max_trades,uses_roster_import,roster_import_deadline,draft_pick_time,can_trade_draft_picks
175.l.580505,580505,P-Run,https://football.fantasysports.yahoo.com/2007/f1/580505,False,postdraft,6,16,,1199105346.0,head,private,,,,,0,0,0,16,1,2007-09-04,16,2007-12-24,1.0,nfl,2007,self,0,https://football.fantasysports.yahoo.com/league/teambolls,1,True,15,0,0,4,4,0,R,all,0,1189046279.0,W,10,2,2007-11-16,vote,2,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.02'}}, {'stat': {'stat_id': 5, 'value': '6'}}, {'stat': {'stat_id': 6, 'value': '-2'}}, {'stat': {'stat_id': 9, 'value': '0.05'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 12, 'value': '0.05'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 19, 'value': '3'}}, {'stat': {'stat_id': 20, 'value': '3'}}, {'stat': {'stat_id': 21, 'value': '3'}}, {'stat': {'stat_id': 22, 'value': '4'}}, {'stat': {'stat_id': 23, 'value': '5'}}, {'stat': {'stat_id': 29, 'value': '1'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}]",,0,1,,,,,,
222.l.790872,790872,pRunOGs,https://football.fantasysports.yahoo.com/2009/f1/790872,False,postdraft,8,16,,1262597878.0,head,private,,,silver,,0,0,0,16,2,2009-09-15,16,2009-12-28,1.0,nfl,2009,self,0,,1,True,14,0,0,6,0,0,R,suntue,0,1252623370.0,W,8,2,2009-11-20,vote,2,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-1'}}, {'stat': {'stat_id': 9, 'value': '0.1'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 12, 'value': '0.1'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 19, 'value': '3'}}, {'stat': {'stat_id': 20, 'value': '3'}}, {'stat': {'stat_id': 21, 'value': '3'}}, {'stat': {'stat_id': 22, 'value': '4'}}, {'stat': {'stat_id': 23, 'value': '5'}}, {'stat': {'stat_id': 29, 'value': '1'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}]",,1,1,60.0,10.0,,,,
242.l.438659,438659,Pheasant Run Elite,https://football.fantasysports.yahoo.com/2010/f1/438659,False,postdraft,8,16,,1294132480.0,head,private,,257_211725,bronze,,0,0,0,16,1,2010-09-09,16,2010-12-28,1.0,nfl,2010,self,1,,1,True,14,0,0,6,6,0,R,suntue,0,1283101277.0,W,8,2,2010-11-12,vote,1,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-1'}}, {'stat': {'stat_id': 9, 'value': '0.1'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 12, 'value': '0.1'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 19, 'value': '3'}}, {'stat': {'stat_id': 20, 'value': '3'}}, {'stat': {'stat_id': 21, 'value': '3'}}, {'stat': {'stat_id': 22, 'value': '4'}}, {'stat': {'stat_id': 23, 'value': '5'}}, {'stat': {'stat_id': 29, 'value': '1'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}]",,1,1,60.0,10.0,,,,
257.l.211725,211725,Pheasant Run Elite,https://football.fantasysports.yahoo.com/2011/f1/211725,False,postdraft,8,16,,1325930577.0,head,private,242_438659,273_324073,silver,,0,0,0,16,1,2011-09-08,16,2011-12-26,1.0,nfl,2011,self,0,,1,True,14,0,0,6,6,0,R,suntue,0,1314559336.0,W,8,1,2011-11-18,vote,1,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-1'}}, {'stat': {'stat_id': 9, 'value': '0.1'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 12, 'value': '0.1'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 19, 'value': '3'}}, {'stat': {'stat_id': 20, 'value': '3'}}, {'stat': {'stat_id': 21, 'value': '3'}}, {'stat': {'stat_id': 22, 'value': '4'}}, {'stat': {'stat_id': 23, 'value': '5'}}, {'stat': {'stat_id': 29, 'value': '1'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}]",,1,1,60.0,10.0,,,,
273.l.324073,324073,Pheasant Run Elite,https://football.fantasysports.yahoo.com/2012/f1/324073,False,postdraft,8,16,,1357341382.0,head,private,257_211725,314_378899,silver,,0,0,0,16,1,2012-09-05,16,2012-12-24,1.0,nfl,2012,self,0,,1,True,14,0,0,6,6,0,R,suntue,0,1345992169.0,W,8,1,2012-11-16,vote,1,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-2'}}, {'stat': {'stat_id': 9, 'value': '0.1'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 12, 'value': '0.1'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 19, 'value': '3'}}, {'stat': {'stat_id': 20, 'value': '3'}}, {'stat': {'stat_id': 21, 'value': '3'}}, {'stat': {'stat_id': 22, 'value': '4'}}, {'stat': {'stat_id': 23, 'value': '5'}}, {'stat': {'stat_id': 29, 'value': '1'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}]",1.0,1,1,60.0,10.0,,,,
314.l.378899,378899,Pheasant Run Elite,https://football.fantasysports.yahoo.com/2013/f1/378899,False,postdraft,8,16,,1388393046.0,head,private,273_324073,331_329823,silver,,0,0,0,16,1,2013-09-05,16,2013-12-23,1.0,nfl,2013,self,1,,1,True,14,0,0,6,6,0,R,suntue,0,1377433132.0,W,8,1,2013-11-15,vote,1,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-2'}}, {'stat': {'stat_id': 9, 'value': '0.1'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 12, 'value': '0.1'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 19, 'value': '3'}}, {'stat': {'stat_id': 20, 'value': '3'}}, {'stat': {'stat_id': 21, 'value': '3'}}, {'stat': {'stat_id': 22, 'value': '4'}}, {'stat': {'stat_id': 23, 'value': '5'}}, {'stat': {'stat_id': 29, 'value': '1'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}]",1.0,1,1,60.0,10.0,,,,
331.l.329823,329823,Pheasant Run Elite,https://football.fantasysports.yahoo.com/2014/f1/329823,False,postdraft,10,16,,1420099074.0,head,private,314_378899,348_216667,silver,,0,0,0,16,1,2014-09-04,16,2014-12-22,1.0,nfl,2014,self,1,,1,True,14,0,0,6,6,0,R,gametime,0,1407704671.0,W,10,1,2014-11-14,vote,1,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-2'}}, {'stat': {'stat_id': 9, 'value': '0.1'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 12, 'value': '0.1'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 19, 'value': '3'}}, {'stat': {'stat_id': 20, 'value': '3'}}, {'stat': {'stat_id': 21, 'value': '3'}}, {'stat': {'stat_id': 22, 'value': '4'}}, {'stat': {'stat_id': 23, 'value': '5'}}, {'stat': {'stat_id': 29, 'value': '1'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}]",1.0,1,1,60.0,10.0,,,,
348.l.216667,216667,Pheasant Run Elite,https://football.fantasysports.yahoo.com/2015/f1/216667,False,postdraft,10,16,,1452154826.0,head,private,331_329823,359_370526,silver,,0,0,0,16,1,2015-09-10,16,2015-12-28,1.0,nfl,2015,self,1,,1,True,14,0,0,6,6,0,R,gametime,0,1440877574.0,W,10,1,2015-11-13,vote,1,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-2'}}, {'stat': {'stat_id': 9, 'value': '0.1'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 12, 'value': '0.1'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 19, 'value': '3'}}, {'stat': {'stat_id': 20, 'value': '3'}}, {'stat': {'stat_id': 21, 'value': '3'}}, {'stat': {'stat_id': 22, 'value': '4'}}, {'stat': {'stat_id': 23, 'value': '5'}}, {'stat': {'stat_id': 29, 'value': '1'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}, {'stat': {'stat_id': 82, 'value': '2'}}]",1.0,1,1,60.0,10.0,1.0,2015-09-09,,
359.l.287220,287220,Casstevens Cup,https://football.fantasysports.yahoo.com/2016/f1/287220,False,postdraft,10,16,,1483604944.0,head,private,348_945980,371_765588,silver,,0,0,0,16,4,2016-09-27,16,2016-12-26,1.0,nfl,2016,live,0,,1,True,14,0,0,6,6,0,S,gametime,0,1474682400.0,W,10,2,2016-11-12,vote,2,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.05'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-2'}}, {'stat': {'stat_id': 9, 'value': '0.1'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 11, 'value': '.5'}}, {'stat': {'stat_id': 12, 'value': '0.1'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 49, 'value': '6'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}, {'stat': {'stat_id': 82, 'value': '2'}}]",1.0,1,1,,,,,90.0,1.0
359.l.370526,370526,Pheasant Run Elite,https://football.fantasysports.yahoo.com/2016/f1/370526,False,postdraft,10,16,,1483605153.0,head,private,348_216667,371_347949,silver,,0,0,0,16,1,2016-09-08,16,2016-12-26,1.0,nfl,2016,self,1,,1,True,14,0,0,6,6,0,R,gametime,0,1472336334.0,W,10,1,2016-11-12,vote,1,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-2'}}, {'stat': {'stat_id': 9, 'value': '0.125'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 11, 'value': '.5'}}, {'stat': {'stat_id': 12, 'value': '0.125'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}, {'stat': {'stat_id': 82, 'value': '2'}}]",1.0,1,1,60.0,10.0,,,,
371.l.347949,347949,Pheasant Run Elite,https://football.fantasysports.yahoo.com/2017/f1/347949,False,postdraft,10,16,,1515058704.0,head,private,359_370526,380_153194,silver,,0,0,0,16,1,2017-09-07,16,2017-12-25,1.0,nfl,2017,self,1,,1,True,14,0,0,6,6,0,FR,gametime,1,1503779522.0,W,10,1,2017-11-11,vote,0,ALL,none,0,,"[{'stat': {'stat_id': 4, 'value': '0.04'}}, {'stat': {'stat_id': 5, 'value': '4'}}, {'stat': {'stat_id': 6, 'value': '-2'}}, {'stat': {'stat_id': 9, 'value': '0.125'}}, {'stat': {'stat_id': 10, 'value': '6'}}, {'stat': {'stat_id': 11, 'value': '.5'}}, {'stat': {'stat_id': 12, 'value': '0.125'}}, {'stat': {'stat_id': 13, 'value': '6'}}, {'stat': {'stat_id': 15, 'value': '6'}}, {'stat': {'stat_id': 16, 'value': '2'}}, {'stat': {'stat_id': 18, 'value': '-2'}}, {'stat': {'stat_id': 57, 'value': '6'}}, {'stat': {'stat_id': 32, 'value': '1'}}, {'stat': {'stat_id': 33, 'value': '2'}}, {'stat': {'stat_id': 34, 'value': '2'}}, {'stat': {'stat_id': 35, 'value': '6'}}, {'stat': {'stat_id': 36, 'value': '2'}}, {'stat': {'stat_id': 37, 'value': '2'}}, {'stat': {'stat_id': 50, 'value': '10'}}, {'stat': {'stat_id': 51, 'value': '7'}}, {'stat': {'stat_id': 52, 'value': '4'}}, {'stat': {'stat_id': 53, 'value': '1'}}, {'stat': {'stat_id': 54, 'value': '0'}}, {'stat': {'stat_id': 55, 'value': '-1'}}, {'stat': {'stat_id': 56, 'value': '-4'}}, {'stat': {'stat_id': 67, 'value': '1'}}, {'stat': {'stat_id': 77, 'value': '1'}}, {'stat': {'stat_id': 82, 'value': '2'}}]",1.0,1,1,60.0,10.0,,,,
