Name,Position,Standard Name,conc,position,player_id,exists in player master,exists in player_dict
Eddie Lacy,RB,Eddie Lacy,Eddie LacyRB,RB,26684,Eddie LacyRB,26684
Eddie Lacy*,RB,Eddie Lacy,Eddie LacyRB,RB,26684,Eddie LacyRB,26684
Eli Manning,QB,Eli Manning,Eli ManningQB,QB,6760,Eli ManningQB,6760
Eli Rogers,WR,Eli Rogers,Eli RogersWR,WR,28669,Eli RogersWR,28669
Elijah McGuire,RB,Elijah McGuire,Elijah McGuireRB,RB,30301,Elijah McGuireRB,30301
Elijhaa Penny,RB,Elijhaa Penny,Elijhaa PennyRB,RB,#N/A,#N/A,#N/A
Emmanuel Sanders,WR,Emmanuel Sanders,Emmanuel SandersWR,WR,24057,Emmanuel SandersWR,24057
Eric Decker,WR,Eric Decker,Eric DeckerWR,WR,24062,Eric DeckerWR,24062
Eric Ebron,TE,Eric Ebron,Eric EbronTE,TE,27538,Eric EbronTE,27538
Evan Engram,TE,Evan Engram,Evan EngramTE,TE,30136,Evan EngramTE,30136
Ezekiel Elliott,RB,Ezekiel Elliott,Ezekiel ElliottRB,RB,29238,Ezekiel ElliottRB,29238
Zeke Elliott,RB,Ezekiel Elliott,Ezekiel ElliottRB,RB,29238,Ezekiel ElliottRB,29238
Ezekiel Elliot,RB,Ezekiel Elliott,Ezekiel ElliottRB,RB,29238,Ezekiel ElliottRB,29238
Felix Jones,RB,Felix Jones,Felix JonesRB,RB,8799,Felix JonesRB,8799
Fozzy Whittaker,RB,Fozzy Whittaker,Fozzy WhittakerRB,RB,26596,Fozzy WhittakerRB,26596
Frank Gore,RB,Frank Gore,Frank GoreRB,RB,7241,Frank GoreRB,7241
Frank Old AF Gore,RB,Frank Gore,Frank GoreRB,RB,7241,Frank GoreRB,7241
Fred Davis,TE,Fred Davis,Fred DavisTE,TE,8825,Fred DavisTE,8825
Fred Jackson,RB,Fred Jackson,Fred JacksonRB,RB,8063,Fred JacksonRB,8063
Gardner Minshew II,QB,Gardner Minshew II,Gardner Minshew IIQB,QB,32010,Gardner MinshewQB,32010
Gerret Hartley,K,Garrett Hartley,Garrett HartleyK,K,9222,Garrett HartleyK,9222
Gary Barnidge,TE,Gary Barnidge,Gary BarnidgeTE,TE,8907,Gary BarnidgeTE,8907
George Kittle,TE,George Kittle,George KittleTE,TE,30259,George KittleTE,30259
Gerald Everett,TE,Gerald Everett,Gerald EverettTE,TE,30157,Gerald EverettTE,30157
Geronimo Allison,WR,Geronimo Allison,Geronimo AllisonWR,WR,29719,Geronimo AllisonWR,29719
Gio Bernard,RB,Giovani Bernard,Giovani BernardRB,RB,26660,Giovani BernardRB,26660
Giovani Bernard,RB,Giovani Bernard,Giovani BernardRB,RB,26660,Giovani BernardRB,26660
Giovanni Bernard,RB,Giovani Bernard,Giovani BernardRB,RB,26660,Giovani BernardRB,26660
Golden Tate,WR,Golden Tate,Golden TateWR,WR,24035,Golden TateWR,24035
Graham Gano,K,Graham Gano,Graham GanoK,K,9526,Graham GanoK,9526
Packers,DEF,Green Bay,Green BayDEF,DEF,100009,#N/A,100009
Green Bay,DEF,Green Bay,Green BayDEF,DEF,100009,#N/A,100009
Green Bay D,DEF,Green Bay,Green BayDEF,DEF,100009,#N/A,100009
Greg Jennings,WR,Greg Jennings,Greg JenningsWR,WR,7801,Greg JenningsWR,7801
Greg Olsen,TE,Greg Olsen,Greg OlsenTE,TE,8285,Greg OlsenTE,8285
Gus Edwards,RB,Gus Edwards,Gus EdwardsRB,RB,31424,Gus EdwardsRB,31424
Hakeem Nicks,WR,Hakeem Nicks,Hakeem NicksWR,WR,9293,Hakeem NicksWR,9293
Harry Douglas,WR,Harry Douglas,Harry DouglasWR,WR,8861,Harry DouglasWR,8861
Hayden Hurst,TE,Hayden Hurst,Hayden HurstTE,TE,30995,Hayden HurstTE,30995
Heath Miller,TE,Heath Miller,Heath MillerTE,TE,7206,Heath MillerTE,7206
HOU,DEF,Houston,HoustonDEF,DEF,100034,#N/A,100034
Houston,DEF,Houston,HoustonDEF,DEF,100034,#N/A,100034
Houston D,DEF,Houston,HoustonDEF,DEF,100034,#N/A,100034
Houston DST,DEF,Houston,HoustonDEF,DEF,100034,#N/A,100034
Houston Texans,DEF,Houston,HoustonDEF,DEF,100034,#N/A,100034
Hunter Henry,TE,Hunter Henry,Hunter HenryTE,TE,29269,Hunter HenryTE,29269
Indianapolis,DEF,Indianapolis,IndianapolisDEF,DEF,100011,#N/A,100011
Indy D,DEF,Indianapolis,IndianapolisDEF,DEF,100011,#N/A,100011
IND,DEF,Indianapolis,IndianapolisDEF,DEF,100011,,100011
Isaac Redman,RB,Isaac Redman,Isaac RedmanRB,RB,9674,Isaac RedmanRB,9674
Isaiah Crowell,RB,Isaiah Crowell,Isaiah CrowellRB,RB,28014,Isaiah CrowellRB,28014
Isiah Crowell,RB,Isaiah Crowell,Isaiah CrowellRB,RB,28014,Isaiah CrowellRB,28014
Ito Smith,RB,Ito Smith,Ito SmithRB,RB,31096,Ito SmithRB,31096
J.D. McKissic,RB,J.D. McKissic,J.D. McKissicRB,RB,29650,J.D. McKissicWR,29650
J.K. Dobbins,RB,J.K. Dobbins,J.K. DobbinsRB,RB,32725,J.K. DobbinsRB,32725
JK Dobbins,RB,J.K. Dobbins,J.K. DobbinsRB,RB,32725,,32725
Jack Doyle,TE,Jack Doyle,Jack DoyleTE,TE,27299,Jack DoyleTE,27299
Jackie Battle,RB,Jackie Battle,Jackie BattleRB,RB,8739,Jackie BattleRB,8739
Jacksonville,DEF,Jacksonville,JacksonvilleDEF,DEF,100030,#N/A,100030
Jacksonville DST,DEF,Jacksonville,JacksonvilleDEF,DEF,100030,#N/A,100030
Jacob Hollister,TE,Jacob Hollister,Jacob HollisterTE,TE,30661,Jacob HollisterTE,30661
Jacoby Brisset,QB,Jacoby Brissett,Jacoby BrissettQB,QB,29325,Jacoby BrissettQB,29325
Jacoby Brissett,QB,Jacoby Brissett,Jacoby BrissettQB,QB,29325,Jacoby BrissettQB,29325
Jaquizz Rogers,RB,Jacquizz Rodgers,Jacquizz RodgersRB,RB,24932,Jacquizz RodgersRB,24932
Jakobi Meyers,WR,Jakobi Meyers,Jakobi MeyersWR,WR,32231,Jakobi MeyersWR,32231
Jalen Hurts,QB,Jalen Hurts,Jalen HurtsQB,QB,32723,Jalen HurtsQB,32723
Jalen Richard,RB,Jalen Richard,Jalen RichardRB,RB,30000,Jalen RichardRB,30000
Jamaal Charles,RB,Jamaal Charles,Jamaal CharlesRB,RB,8850,Jamaal CharlesRB,8850
Jamaal Charles*,RB,Jamaal Charles,Jamaal CharlesRB,RB,8850,Jamaal CharlesRB,8850
Jamaal Williams,RB,Jamaal Williams,Jamaal WilliamsRB,RB,30247,Jamaal WilliamsRB,30247
Jamaar Chase,WR,Ja'Marr Chase,Ja'Marr ChaseWR,WR,33393,Ja'Marr ChaseWR,33393
JaMarr Chase,WR,Ja'Marr Chase,Ja'Marr ChaseWR,WR,33393,,33393
Jameis Winston,QB,Jameis Winston,Jameis WinstonQB,QB,28389,Jameis WinstonQB,28389
Jamies Winston,QB,Jameis Winston,Jameis WinstonQB,QB,28389,Jameis WinstonQB,28389
James Conner,RB,James Conner,James ConnerRB,RB,30218,James ConnerRB,30218
James Jones,WR,James Jones,James JonesWR,WR,8332,James JonesWR,8332
James Robinson,RB,James Robinson,James RobinsonRB,RB,33138,James RobinsonRB,33138
James Starks,RB,James Starks,James StarksRB,RB,24169,James StarksRB,24169
James Washington,WR,James Washington,James WashingtonWR,WR,31030,James WashingtonWR,31030
James White,RB,James White,James WhiteRB,RB,27658,James WhiteRB,27658
Jamison Crowder,WR,Jamison Crowder,Jamison CrowderWR,WR,28493,Jamison CrowderWR,28493
Jared Cook,TE,Jared Cook,Jared CookTE,TE,9353,Jared CookTE,9353
Jared Goff,QB,Jared Goff,Jared GoffQB,QB,29235,Jared GoffQB,29235
Jarvis Landry,WR,Jarvis Landry,Jarvis LandryWR,WR,27591,Jarvis LandryWR,27591
Jason Hanson,K,Jason Hanson,Jason HansonK,K,2034,Jason HansonK,2034
Jason Witten,TE,Jason Witten,Jason WittenTE,TE,6405,Jason WittenTE,6405
Javonte Williams,RB,Javonte Williams,Javonte WilliamsRB,RB,33423,Javonte WilliamsRB,33423
Javorius Allen,RB,Javorius Allen,Javorius AllenRB,RB,28513,Javorius AllenRB,28513
Jay Ajayi,RB,Jay Ajayi,Jay AjayiRB,RB,28537,Jay AjayiRB,28537
Jay Cutler,QB,Jay Cutler,Jay CutlerQB,QB,7760,Jay CutlerQB,7760
Jaylen Samuels,RB,Jaylen Samuels,Jaylen SamuelsRB,RB,31135,Jaylen SamuelsRB,31135
Jaylen Waddle,WR,Jaylen Waddle,Jaylen WaddleWR,WR,33394,Jaylen WaddleWR,33394
Jeff Wilson Jr.,RB,Jeff Wilson Jr.,Jeff Wilson Jr.RB,RB,31394,Jeff Wilson Jr.RB,31394
Jeremy Hill,RB,Jeremy Hill,Jeremy HillRB,RB,27583,Jeremy HillRB,27583
Jeremy Langford,RB,Jeremy Langford,Jeremy LangfordRB,RB,28494,Jeremy LangfordRB,28494
Jeremy Maclin,WR,Jeremy Maclin,Jeremy MaclinWR,WR,9283,Jeremy MaclinWR,9283
Jerick McKinnon,RB,Jerick McKinnon,Jerick McKinnonRB,RB,27624,Jerick McKinnonRB,27624
Jermaine Gresham,TE,Jermaine Gresham,Jermaine GreshamTE,TE,23996,Jermaine GreshamTE,23996
Jeremichael Finley,TE,Jermichael Finley,Jermichael FinleyTE,TE,8868,Jermichael FinleyTE,8868
Jerry Jeudy,WR,Jerry Jeudy,Jerry JeudyWR,WR,32685,Jerry JeudyWR,32685
Jerry Juedy,WR,Jerry Jeudy,Jerry JeudyWR,WR,32685,Jerry JeudyWR,32685
Jimmy Garoppolo,QB,Jimmy Garoppolo,Jimmy GaroppoloQB,QB,27590,Jimmy GaroppoloQB,27590
Jimmy Garrapolo,QB,Jimmy Garoppolo,Jimmy GaroppoloQB,QB,27590,Jimmy GaroppoloQB,27590
Jimmy Graham,TE,Jimmy Graham,Jimmy GrahamTE,TE,24070,Jimmy GrahamTE,24070
Jimmy Graham*,TE,Jimmy Graham,Jimmy GrahamTE,TE,24070,Jimmy GrahamTE,24070
Joe Burrow,QB,Joe Burrow,Joe BurrowQB,QB,32671,Joe BurrowQB,32671
Joe Flacco,QB,Joe Flacco,Joe FlaccoQB,QB,8795,Joe FlaccoQB,8795
Joe Mixon,RB,Joe Mixon,Joe MixonRB,RB,30161,Joe MixonRB,30161
John Brown,WR,John Brown,John BrownWR,WR,27619,John BrownWR,27619
Johnny Manziel,QB,Johnny Manziel,Johnny ManzielQB,QB,27550,Johnny ManzielQB,27550
Joique Bell,RB,Joique Bell,Joique BellRB,RB,24262,Joique BellRB,24262
Jonas Gray,RB,Jonas Gray,Jonas GrayRB,RB,26273,Jonas GrayRB,26273
Jonathan Stewart,RB,Jonathan Stewart,Jonathan StewartRB,RB,8790,Jonathan StewartRB,8790
Jonathan Taylor,RB,Jonathan Taylor,Jonathan TaylorRB,RB,32711,Jonathan TaylorRB,32711
Jonathan Williams,RB,Jonathan Williams,Jonathan WilliamsRB,RB,29390,Jonathan WilliamsRB,29390
Jordan Cameron,TE,Jordan Cameron,Jordan CameronTE,TE,24889,Jordan CameronTE,24889
Jordan Howard,RB,Jordan Howard,Jordan HowardRB,RB,29384,Jordan HowardRB,29384
Jordan Matthews,WR,Jordan Matthews,Jordan MatthewsWR,WR,27570,Jordan MatthewsWR,27570
Jordan Reed,TE,Jordan Reed,Jordan ReedTE,TE,26708,Jordan ReedTE,26708
Jordan Todman,RB,Jordan Todman,Jordan TodmanRB,RB,24970,Jordan TodmanRB,24970
Jordy Nelson,WR,Jordy Nelson,Jordy NelsonWR,WR,8813,Jordy NelsonWR,8813
Jordy Nelsonl,WR,Jordy Nelson,Jordy NelsonWR,WR,8813,Jordy NelsonWR,8813
Joseph Randle,RB,Joseph Randle,Joseph RandleRB,RB,26774,Joseph RandleRB,26774
Josh Adams,RB,Josh Adams,Josh AdamsRB,RB,31567,Josh AdamsRB,31567
Josh Allen,QB,Josh Allen,Josh AllenQB,QB,30977,Josh AllenQB,30977
Josh Brown,K,Josh Brown,Josh BrownK,K,6558,Josh BrownK,6558
Josh Doctson,WR,Josh Doctson,Josh DoctsonWR,WR,29256,Josh DoctsonWR,29256
Josh Gordon,WR,Josh Gordon,Josh GordonWR,WR,26561,Josh GordonWR,26561
Josh Jacobs,RB,Josh Jacobs,Josh JacobsRB,RB,31856,Josh JacobsRB,31856
Josh McCown,QB,Josh McCown,Josh McCownQB,QB,5967,Josh McCownQB,5967
Josh Reynolds,WR,Josh Reynolds,Josh ReynoldsWR,WR,30230,Josh ReynoldsWR,30230
JuJu Smith-Schuster,WR,JuJu Smith-Schuster,JuJu Smith-SchusterWR,WR,30175,JuJu Smith-SchusterWR,30175
Juju Smith Schuster,WR,JuJu Smith-Schuster,JuJu Smith-SchusterWR,WR,30175,JuJu Smith-SchusterWR,30175
JuJu Smith-Shu,WR,JuJu Smith-Schuster,JuJu Smith-SchusterWR,WR,30175,JuJu Smith-SchusterWR,30175
Julian Edelman,WR,Julian Edelman,Julian EdelmanWR,WR,9496,Julian EdelmanQB,9496
Julio Jones,WR,Julio Jones,Julio JonesWR,WR,24793,Julio JonesWR,24793
Julius Thomas,TE,Julius Thomas,Julius ThomasTE,TE,24916,Julius ThomasTE,24916
Julius Thomas*,TE,Julius Thomas,Julius ThomasTE,TE,24916,Julius ThomasTE,24916
Justin Davis,RB,Justin Davis,Justin DavisRB,RB,30370,Justin DavisRB,30370
Justin Fields,QB,Justin Fields,Justin FieldsQB,QB,33399,Justin FieldsQB,33399
Justin Forsett,RB,Justin Forsett,Justin ForsettRB,RB,9010,Justin ForsettRB,9010
Justin Herbert,QB,Justin Herbert,Justin HerbertQB,QB,32676,Justin HerbertQB,32676
Justin Hunter,WR,Justin Hunter,Justin HunterWR,WR,26657,Justin HunterWR,26657
Justin Jackson,RB,Justin Jackson,Justin JacksonRB,RB,31221,Justin JacksonRB,31221
Justin Jefferson,WR,Justin Jefferson,Justin JeffersonWR,WR,32692,Justin JeffersonWR,32692
Justin Tucker,K,Justin Tucker,Justin TuckerK,K,26534,Justin TuckerK,26534
Kalen Ballage,RB,Kalen Ballage,Kalen BallageRB,RB,31100,Kalen BallageRB,31100
Kamar Aiken,WR,Kamar Aiken,Kamar AikenWR,WR,25379,Kamar AikenWR,25379
Kansas City,DEF,Kansas City,Kansas CityDEF,DEF,100012,#N/A,100012
Kansas City (KC),DEF,Kansas City,Kansas CityDEF,DEF,100012,#N/A,100012
Kansas City D,DEF,Kansas City,Kansas CityDEF,DEF,100012,#N/A,100012
Kapri Bibbs,RB,Kapri Bibbs,Kapri BibbsRB,RB,27821,Kapri BibbsRB,27821
Kareem Hunt,RB,Kareem Hunt,Kareem HuntRB,RB,30199,Kareem HuntRB,30199
Karlos Williams,RB,Karlos Williams,Karlos WilliamsRB,RB,28543,Karlos WilliamsRB,28543
Keelan Cole,WR,Keelan Cole,Keelan ColeWR,WR,30396,Keelan ColeWR,30396
Keenan Allen,WR,Keenan Allen,Keenan AllenWR,WR,26699,Keenan AllenWR,26699
Keke Coutee,WR,Keke Coutee,Keke CouteeWR,WR,31073,Keke CouteeWR,31073
Kelvin Benjamin,WR,Kelvin Benjamin,Kelvin BenjaminWR,WR,27556,Kelvin BenjaminWR,27556
Kendall Wright,WR,Kendall Wright,Kendall WrightWR,WR,25730,Kendall WrightWR,25730
Kenneth Dixon,RB,Kenneth Dixon,Kenneth DixonRB,RB,29368,Kenneth DixonRB,29368
Kenneth Farrow,RB,Kenneth Farrow,Kenneth FarrowRB,RB,29518,Kenneth FarrowRB,29518
Kenny Britt,WR,Kenny Britt,Kenny BrittWR,WR,9294,Kenny BrittWR,9294
Kenny Golladay,WR,Kenny Golladay,Kenny GolladayWR,WR,30209,Kenny GolladayWR,30209
Kenny Stills,WR,Kenny Stills,Kenny StillsWR,WR,26767,Kenny StillsWR,26767
Kenyan Drake,RB,Kenyan Drake,Kenyan DrakeRB,RB,29307,Kenyan DrakeRB,29307
Kerryon Johnson,RB,Kerryon Johnson,Kerryon JohnsonRB,RB,31013,Kerryon JohnsonRB,31013
Kerwynn Williams,RB,Kerwynn Williams,Kerwynn WilliamsRB,RB,26853,Kerwynn WilliamsRB,26853
Kevin White,WR,Kevin White,Kevin WhiteWR,WR,28395,Kevin WhiteWR,28395
Kirk Cousins,QB,Kirk Cousins,Kirk CousinsQB,QB,25812,Kirk CousinsQB,25812
Knile Davis,RB,Knile Davis,Knile DavisRB,RB,26719,Knile DavisRB,26719
Knowshon Moreno,RB,Knowshon Moreno,Knowshon MorenoRB,RB,9276,Knowshon MorenoRB,9276
Kyle Pitts,TE,Kyle Pitts,Kyle PittsTE,TE,33392,Kyle PittsTE,33392
Kyle Rudolph,TE,Kyle Rudolph,Kyle RudolphTE,TE,24830,Kyle RudolphTE,24830
Kyler Murray,QB,Kyler Murray,Kyler MurrayQB,QB,31833,Kyler MurrayQB,31833
L. Shenault,WR,Laviska Shenault Jr.,Laviska Shenault Jr.WR,WR,32712,Laviska Shenault Jr.WR,32712
Laviska Shenault Jr.,WR,Laviska Shenault Jr.,Laviska Shenault Jr.WR,WR,32712,Laviska Shenault Jr.WR,32712
Laviska Shenault,WR,Laviska Shenault Jr.,Laviska Shenault Jr.WR,WR,32712,Laviska Shenault Jr.WR,32712
Ladarius Green,TE,Ladarius Green,Ladarius GreenTE,TE,25820,Ladarius GreenTE,25820
Lamar Jackson,QB,Lamar Jackson,Lamar JacksonQB,QB,31002,Lamar JacksonQB,31002
Lamar Miller,RB,Lamar Miller,Lamar MillerRB,RB,25807,Lamar MillerRB,25807
Lance Moore,WR,Lance Moore,Lance MooreWR,WR,7544,Lance MooreWR,7544
Larry Fitz,WR,Larry Fitzgerald,Larry FitzgeraldWR,WR,6762,Larry FitzgeraldWR,6762
Larry Fitzgerald,WR,Larry Fitzgerald,Larry FitzgeraldWR,WR,6762,Larry FitzgeraldWR,6762
Larry Fitzgerald ,WR,Larry Fitzgerald,Larry FitzgeraldWR,WR,6762,Larry FitzgeraldWR,6762
Oakland DST,DEF,Las Vegas,Las VegasDEF,DEF,100013,#N/A,100013
Las Vegas,DEF,Las Vegas,Las VegasDEF,DEF,100013,#N/A,100013
Latavius Murray,RB,Latavius Murray,Latavius MurrayRB,RB,26804,Latavius MurrayRB,26804
Lawrence Tynes,K,Lawrence Tynes,Lawrence TynesK,K,7022,Lawrence TynesK,7022
LeGarrette Blount,RB,LeGarrette Blount,LeGarrette BlountRB,RB,24318,LeGarrette BlountRB,24318
Leonard Fournette,RB,Leonard Fournette,Leonard FournetteRB,RB,30117,Leonard FournetteRB,30117
LeSean McCoy,RB,LeSean McCoy,LeSean McCoyRB,RB,9317,LeSean McCoyRB,9317
LeSean McCoy*,RB,LeSean McCoy,LeSean McCoyRB,RB,9317,LeSean McCoyRB,9317
LaVeon Bell,RB,Le'Veon Bell,Le'Veon BellRB,RB,26671,Le'Veon BellRB,26671
LeVeon Bell,RB,Le'Veon Bell,Le'Veon BellRB,RB,26671,Le'Veon BellRB,26671
Le'Veon Bell,RB,Le'Veon Bell,Le'Veon BellRB,RB,26671,Le'Veon BellRB,26671
Le'Veon Bell*,RB,Le'Veon Bell,Le'Veon BellRB,RB,26671,Le'Veon BellRB,26671
Logan Thomas,TE,Logan Thomas,Logan ThomasTE,TE,27648,Logan ThomasQB,27648
Los Angeles,DEF,Los Angeles (LAC),Los Angeles (LAC)DEF,DEF,100024,#N/A,100024
Los Angeles (LAC),DEF,Los Angeles (LAC),Los Angeles (LAC)DEF,DEF,100024,#N/A,100024
Los Angeles Chargers,DEF,Los Angeles (LAC),Los Angeles (LAC)DEF,DEF,100024,#N/A,100024
Chargers,DEF,Los Angeles (LAC),Los Angeles (LAC)DEF,DEF,100024,#N/A,100024
LA Rams,DEF,Los Angeles (LAR),Los Angeles (LAR)DEF,DEF,100014,#N/A,100014
LA Chargers DEF,DEF,Los Angeles (LAC),Los Angeles (LAC)DEF,DEF,100024,#N/A,100024
Rams,DEF,Los Angeles (LAR),Los Angeles (LAR)DEF,DEF,100014,#N/A,100014
Los Angeles (LAR),DEF,Los Angeles (LAR),Los Angeles (LAR)DEF,DEF,100014,#N/A,100014
Los Angeles Rams,DEF,Los Angeles (LAR),Los Angeles (LAR)DEF,DEF,100014,#N/A,100014
Malcolm Mitchell,WR,Malcolm Mitchell,Malcolm MitchellWR,WR,29346,Malcolm MitchellWR,29346
Malcom Floyd,WR,Malcom Floyd,Malcom FloydWR,WR,7149,Malcom FloydWR,7149
Marcus Mariota,QB,Marcus Mariota,Marcus MariotaQB,QB,28390,Marcus MariotaQB,28390
Marcus Mariotta,QB,Marcus Mariota,Marcus MariotaQB,QB,28390,Marcus MariotaQB,28390
Mark Andrews,TE,Mark Andrews,Mark AndrewsTE,TE,31056,Mark AndrewsTE,31056
Mark Ingram,RB,Mark Ingram II,Mark Ingram IIRB,RB,24815,Mark Ingram IIRB,24815
Mark Ingram II,RB,Mark Ingram II,Mark Ingram IIRB,RB,24815,Mark Ingram IIRB,24815
Mark Sanchez,QB,Mark Sanchez,Mark SanchezQB,QB,9269,Mark SanchezQB,9269
Markus Wheaton,WR,Markus Wheaton,Markus WheatonWR,WR,26702,Markus WheatonWR,26702
Marlon Mack,RB,Marlon Mack,Marlon MackRB,RB,30256,Marlon MackRB,30256
Marqise Lee,WR,Marqise Lee,Marqise LeeWR,WR,27567,Marqise LeeWR,27567
Marques Colston,WR,Marques Colston,Marques ColstonWR,WR,8001,Marques ColstonWR,8001
Marquess Wilson,WR,Marquess Wilson,Marquess WilsonWR,WR,26859,Marquess WilsonWR,26859
Marquez Callaway,WR,Marquez Callaway,Marquez CallawayWR,WR,33109,Marquez CallawayWR,33109
Marquez Valdes-Scantling,WR,Marquez Valdes-Scantling,Marquez Valdes-ScantlingWR,WR,31144,Marquez Valdes-ScantlingWR,31144
Marquez Valdez-Scantling,WR,Marquez Valdes-Scantling,Marquez Valdes-ScantlingWR,WR,31144,Marquez Valdes-ScantlingWR,31144
Marquise Brown,WR,Marquise Brown,Marquise BrownWR,WR,31857,Marquise BrownWR,31857
Marquise Goodwin,WR,Marquise Goodwin,Marquise GoodwinWR,WR,26701,Marquise GoodwinWR,26701
Marshawn Lynch,RB,Marshawn Lynch,Marshawn LynchRB,RB,8266,Marshawn LynchRB,8266
Martavis Bryant,WR,Martavis Bryant,Martavis BryantWR,WR,27646,Martavis BryantWR,27646
Martellus Bennett,TE,Martellus Bennett,Martellus BennettTE,TE,8838,Martellus BennettTE,8838
Marvin Jones,WR,Marvin Jones,Marvin JonesWR,WR,25876,Marvin Jones Jr.WR,25876
Marvin Jones Jr.,WR,Marvin Jones Jr.,Marvin Jones Jr.WR,WR,25876,Marvin Jones Jr.WR,25876
Mason Crosby,K,Mason Crosby,Mason CrosbyK,K,8447,Mason CrosbyK,8447
Matt Barkley,QB,Matt Barkley,Matt BarkleyQB,QB,26721,Matt BarkleyQB,26721
Matt Breida,RB,Matt Breida,Matt BreidaRB,RB,30552,Matt BreidaRB,30552
Matt Bryant,K,Matt Bryant,Matt BryantK,K,6243,Matt BryantK,6243
Matt Forte,RB,Matt Forte,Matt ForteRB,RB,8821,Matt ForteRB,8821
Matt Forte*,RB,Matt Forte,Matt ForteRB,RB,8821,Matt ForteRB,8821
Matt Jones,RB,Matt Jones,Matt JonesRB,RB,28483,Matt JonesRB,28483
Matt Prader,K,Matt Prater,Matt PraterK,K,8565,Matt PraterK,8565
Matt Prater,K,Matt Prater,Matt PraterK,K,8565,Matt PraterK,8565
Matt Ryan,QB,Matt Ryan,Matt RyanQB,QB,8780,Matt RyanQB,8780
Matthew Stafford,QB,Matthew Stafford,Matthew StaffordQB,QB,9265,Matthew StaffordQB,9265
Matt Stafford,QB,Matthew Stafford,Matthew StaffordQB,QB,9265,Matthew StaffordQB,9265
Maurice Jones Drew,RB,Maurice Jones-Drew,Maurice Jones-DrewRB,RB,7809,Maurice Jones-DrewRB,7809
Maurice Jones-Drew,RB,Maurice Jones-Drew,Maurice Jones-DrewRB,RB,7809,Maurice Jones-DrewRB,7809
Mecole Hardman,WR,Mecole Hardman,Mecole HardmanWR,WR,31888,Mecole HardmanWR,31888
Melvin Gordon,RB,Melvin Gordon,Melvin GordonRB,RB,28403,Melvin GordonRB,28403
Melvin Gordon III,RB,Melvin Gordon III,Melvin Gordon IIIRB,RB,28403,Melvin GordonRB,28403
Miami,DEF,Miami,MiamiDEF,DEF,100015,#N/A,100015
Miami D,DEF,Miami,MiamiDEF,DEF,100015,#N/A,100015
