,position,manager_id,opponent_id,matchup_url,player,player_url,score,league_url,manager_name,opponent_name,new
0,QB,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,T. Brady ,https://sports.yahoo.com/nfl/players/5228,17.55,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
1,WR,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Brown ,https://sports.yahoo.com/nfl/players/31883,23.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
2,WR,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Robinson II ,https://sports.yahoo.com/nfl/players/27589,25.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
3,WR,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,J. Crowder ,https://sports.yahoo.com/nfl/players/28493,1.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
4,RB,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,D. Henry ,https://sports.yahoo.com/nfl/players/29279,40.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
5,RB,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Jones ,https://sports.yahoo.com/nfl/players/30295,10.38,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
6,TE,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,E. Engram ,https://sports.yahoo.com/nfl/players/30136,3.25,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
7,Q/WR/T,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,R. Tannehill ,https://sports.yahoo.com/nfl/players/25718,18.6,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
8,DEF,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,14.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
9,DEF,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,Carolina  - DEF ,https://sports.yahoo.com/nfl/teams/carolina/,3.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
10,QB,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,34.13,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
11,WR,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,T. Hill ,https://sports.yahoo.com/nfl/players/29399,27.38,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
12,WR,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,C. Kupp ,https://sports.yahoo.com/nfl/players/30182,12.63,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
13,WR,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,C. Davis ,https://sports.yahoo.com/nfl/players/30118,3.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
14,RB,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Ekeler ,https://sports.yahoo.com/nfl/players/30423,22.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
15,RB,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,M. Gordon ,https://sports.yahoo.com/nfl/players/28403,12.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
16,TE,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,R. Tonyan ,https://sports.yahoo.com/nfl/players/30777,13,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
17,Q/WR/T,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,C. Newton ,https://sports.yahoo.com/nfl/players/24788,5.95,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
18,DEF,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,Baltimore  - DEF ,https://sports.yahoo.com/nfl/teams/baltimore/,1.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
19,DEF,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-rams/,33,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
20,QB,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,J. Allen ,https://sports.yahoo.com/nfl/players/30977,21.4,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
21,WR,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,M. Thomas ,https://sports.yahoo.com/nfl/players/29281,14.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
22,WR,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,J. Jefferson ,https://sports.yahoo.com/nfl/players/32692,8.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
23,WR,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,C. Godwin ,https://sports.yahoo.com/nfl/players/30197,4.13,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
24,RB,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,J. Jacobs ,https://sports.yahoo.com/nfl/players/31856,10.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
25,RB,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,J. Conner ,https://sports.yahoo.com/nfl/players/30218,2.25,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
26,TE,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,T. Kelce ,https://sports.yahoo.com/nfl/players/26686,27,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
27,Q/WR/T,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,J. Goff ,https://sports.yahoo.com/nfl/players/29235,16.23,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
28,DEF,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,Dallas  - DEF ,https://sports.yahoo.com/nfl/teams/dallas/,26,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
29,DEF,2,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,Cincinnati  - DEF ,https://sports.yahoo.com/nfl/teams/cincinnati/,4.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Benjamin,Luke,Patrick
30,QB,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,K. Murray ,https://sports.yahoo.com/nfl/players/31833,22.08,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
31,WR,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,C. Ridley ,https://sports.yahoo.com/nfl/players/30996,25.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
32,WR,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,K. Coutee ,https://sports.yahoo.com/nfl/players/31073,8.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
33,WR,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,T. Hilton ,https://sports.yahoo.com/nfl/players/25802,25.25,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
34,RB,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,J. Taylor ,https://sports.yahoo.com/nfl/players/32711,33.63,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
35,RB,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,C. Edwards-Helaire ,https://sports.yahoo.com/nfl/players/32702,13.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
36,TE,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,M. Andrews ,https://sports.yahoo.com/nfl/players/31056,12.25,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
37,Q/WR/T,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,B. Roethlisberger ,https://sports.yahoo.com/nfl/players/6770,15.35,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
38,DEF,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,New Orleans  - DEF ,https://sports.yahoo.com/nfl/teams/new-orleans/,7.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
39,DEF,4,2,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=2&mid2=4&week=14,Green Bay  - DEF ,https://sports.yahoo.com/nfl/teams/green-bay/,7.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Benjamin,Scott Gunter
40,QB,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,D. Watson ,https://sports.yahoo.com/nfl/players/30125,27.78,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
41,WR,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,D. Metcalf ,https://sports.yahoo.com/nfl/players/31896,7.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
42,WR,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,D. Adams ,https://sports.yahoo.com/nfl/players/27581,8.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
43,WR,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,C. Lamb ,https://sports.yahoo.com/nfl/players/32687,19.13,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
44,RB,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,K. Drake ,https://sports.yahoo.com/nfl/players/29307,6,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
45,RB,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,J. Dobbins ,https://sports.yahoo.com/nfl/players/32725,16.63,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
46,TE,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,E. Ebron ,https://sports.yahoo.com/nfl/players/27538,0,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
47,Q/WR/T,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,K. Cousins ,https://sports.yahoo.com/nfl/players/25812,22.68,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
48,DEF,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,Buffalo  - DEF ,https://sports.yahoo.com/nfl/teams/buffalo/,16.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
49,DEF,5,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,Minnesota  - DEF ,https://sports.yahoo.com/nfl/teams/minnesota/,4,https://football.fantasysports.yahoo.com/2020/f1/523631,Mark,Scott Gunter,Patrick
50,QB,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,20.4,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
51,WR,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,T. Hill ,https://sports.yahoo.com/nfl/players/29399,15.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
52,WR,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,C. Kupp ,https://sports.yahoo.com/nfl/players/30182,7.38,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
53,WR,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,B. Aiyuk ,https://sports.yahoo.com/nfl/players/32695,19.63,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
54,RB,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,A. Ekeler ,https://sports.yahoo.com/nfl/players/30423,11.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
55,RB,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,M. Gordon ,https://sports.yahoo.com/nfl/players/28403,24.13,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
56,TE,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,R. Tonyan ,https://sports.yahoo.com/nfl/players/30777,9.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
57,Q/WR/T,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,C. Newton ,https://sports.yahoo.com/nfl/players/24788,15.2,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
58,DEF,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,Baltimore  - DEF ,https://sports.yahoo.com/nfl/teams/baltimore/,18.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
59,DEF,1,5,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=5&mid2=1&week=15,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-rams/,5,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Mark,Benjamin
60,QB,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,K. Murray ,https://sports.yahoo.com/nfl/players/31833,37.93,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
61,WR,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,C. Ridley ,https://sports.yahoo.com/nfl/players/30996,31.38,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
62,WR,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,T. Hilton ,https://sports.yahoo.com/nfl/players/25802,10.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
63,WR,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,N. Agholor ,https://sports.yahoo.com/nfl/players/28408,8.13,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
64,RB,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,J. Taylor ,https://sports.yahoo.com/nfl/players/32711,19.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
65,RB,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,C. Edwards-Helaire ,https://sports.yahoo.com/nfl/players/32702,10.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
66,TE,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,M. Andrews ,https://sports.yahoo.com/nfl/players/31056,16.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
67,Q/WR/T,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,B. Roethlisberger ,https://sports.yahoo.com/nfl/players/6770,8.38,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
68,DEF,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,Green Bay  - DEF ,https://sports.yahoo.com/nfl/teams/green-bay/,11,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
69,DEF,4,9,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,New York  - DEF ,https://sports.yahoo.com/nfl/teams/ny-giants/,7.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Luke,Kevin,Kevin
70,QB,9,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,J. Herbert ,https://sports.yahoo.com/nfl/players/32676,31.45,https://football.fantasysports.yahoo.com/2020/f1/523631,Kevin,Luke,Luke
71,WR,9,4,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=4&mid2=9&week=15,D. Hopkins ,https://sports.yahoo.com/nfl/players/26650,29.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Kevin,Luke,Luke
