,player_id,name,position_type,eligible_positions,percent_owned,status,league
0,1025,Brett Favre,O,QB,96,,175.l.580505
1,1078,Matt Stover,K,K,51,,175.l.580505
2,3135,Joey Galloway,O,WR,95,,175.l.580505
3,3512,Bobby Engram,O,WR,84,,175.l.580505
4,3514,Marvin Harrison,O,WR,92,,175.l.580505
5,3664,Terrell Owens,O,WR,100,,175.l.580505
6,3950,Tony Gonzalez,O,TE,98,,175.l.580505
7,4256,Peyton Manning,O,QB,100,,175.l.580505
8,4262,Randy Moss,O,WR,100,,175.l.580505
9,4323,Hines Ward,O,WR,95,,175.l.580505
10,4416,Matt Hasselbeck,O,QB,94,,175.l.580505
11,4541,Kurt Warner,O,QB,60,,175.l.580505
12,4650,Donovan McNabb,O,QB,91,,175.l.580505
13,4652,Edgerrin James,O,RB,97,,175.l.580505
14,4654,Torry Holt,O,WR,99,,175.l.580505
15,4878,Kris Brown,K,K,53,,175.l.580505
16,5034,Jamal Lewis,O,RB,93,,175.l.580505
17,5037,Plaxico Burress,O,WR,99,,175.l.580505
18,5048,Shaun Alexander,O,RB,92,,175.l.580505
19,5197,Marc Bulger,O,QB,60,,175.l.580505
20,5228,Tom Brady,O,QB,100,,175.l.580505
21,5452,LaDainian Tomlinson,O,RB,100,,175.l.580505
22,5477,Reggie Wayne,O,WR,100,,175.l.580505
23,5479,Drew Brees,O,QB,97,,175.l.580505
24,5483,Chad Johnson,O,WR,100,,175.l.580505
25,5499,Chris Chambers,O,WR,79,,175.l.580505
26,5505,Travis Henry,O,RB,86,,175.l.580505
27,5521,Steve Smith Sr.,O,WR,99,,175.l.580505
28,5652,T.J. Houshmandzadeh,O,WR,100,,175.l.580505
29,5744,Kenny Watson,O,RB,58,,175.l.580505
30,5854,Shayne Graham,K,K,72,,175.l.580505
31,5899,Donte' Stallworth,O,WR,84,,175.l.580505
32,5937,Clinton Portis,O,RB,97,,175.l.580505
33,5951,Deion Branch,O,WR,81,,175.l.580505
34,5977,Brian Westbrook,O,RB,100,,175.l.580505
35,6142,Chester Taylor,O,RB,81,,175.l.580505
36,6337,Carson Palmer,O,QB,100,,175.l.580505
37,6339,Andre Johnson,O,WR,97,,175.l.580505
38,6359,Willis McGahee,O,RB,98,,175.l.580505
39,6360,Dallas Clark,O,TE,96,,175.l.580505
40,6390,Anquan Boldin,O,WR,95,,175.l.580505
41,6405,Jason Witten,O,TE,98,,175.l.580505
42,6410,Kevin Curtis,O,WR,90,,175.l.580505
43,6492,Donald Lee,O,TE,64,,175.l.580505
44,6558,Josh Brown,K,K,68,,175.l.580505
45,6624,Tony Romo,O,QB,99,,175.l.580505
46,6663,Antonio Gates,O,TE,100,,175.l.580505
47,6762,Larry Fitzgerald,O,WR,99,,175.l.580505
48,6765,Kellen Winslow,O,TE,98,,175.l.580505
49,6770,Ben Roethlisberger,O,QB,95,,175.l.580505
50,6772,Lee Evans,O,WR,87,,175.l.580505
51,6783,Steven Jackson,O,RB,97,,175.l.580505
52,6789,Kevin Jones,O,RB,78,,175.l.580505
53,6791,Ben Watson,O,TE,86,,175.l.580505
54,6840,Chris Cooley,O,TE,95,,175.l.580505
55,6975,Patrick Crayton,O,WR,82,,175.l.580505
56,7027,Wes Welker,O,WR,96,,175.l.580505
57,7073,Willie Parker,O,RB,99,,175.l.580505
58,7108,Earnest Graham,O,RB,86,,175.l.580505
59,7179,Braylon Edwards,O,WR,98,,175.l.580505
60,7206,Heath Miller,O,TE,90,,175.l.580505
61,7241,Frank Gore,O,RB,98,,175.l.580505
62,7259,Chris Henry,O,WR,59,,175.l.580505
63,7285,Marion Barber,O,RB,97,,175.l.580505
64,7389,Derek Anderson,O,QB,94,,175.l.580505
65,7635,Ryan Grant,O,RB,81,,175.l.580505
66,7751,Reggie Bush,O,RB,94,,175.l.580505
67,7774,Santonio Holmes,O,WR,90,,175.l.580505
68,7779,Joseph Addai,O,RB,100,,175.l.580505
69,7794,LenDale White,O,RB,85,,175.l.580505
70,7801,Greg Jennings,O,WR,94,,175.l.580505
71,7809,Maurice Jones-Drew,O,RB,96,,175.l.580505
72,7867,Stephen Gostkowski,K,K,78,,175.l.580505
73,7868,Brandon Marshall,O,WR,86,,175.l.580505
74,8001,Marques Colston,O,WR,98,,175.l.580505
75,8256,Calvin Johnson,O,WR,89,,175.l.580505
76,8261,Adrian Peterson,O,RB,98,,175.l.580505
77,8266,Marshawn Lynch,O,RB,95,,175.l.580505
78,8432,Nick Folk,K,K,86,,175.l.580505
79,8447,Mason Crosby,K,K,69,,175.l.580505
80,100006,Dallas,DT,DEF,91,,175.l.580505
81,100009,Green Bay,DT,DEF,85,,175.l.580505
82,100010,Tennessee,DT,DEF,57,,175.l.580505
83,100016,Minnesota,DT,DEF,92,,175.l.580505
84,100017,New England,DT,DEF,99,,175.l.580505
85,100019,New York,DT,DEF,79,,175.l.580505
86,100023,Pittsburgh,DT,DEF,96,,175.l.580505
87,100024,Los Angeles,DT,DEF,96,,175.l.580505
88,100026,Seattle,DT,DEF,82,,175.l.580505
89,100028,Washington,DT,DEF,40,,175.l.580505
90,549,John Carney,K,K,31,,222.l.790872
91,3988,Derrick Mason,O,WR,88,,222.l.790872
92,4080,Ryan Longwell,K,K,95,,222.l.790872
93,4587,David Akers,K,K,97,,222.l.790872
94,4653,Ricky Williams,O,RB,94,,222.l.790872
95,4863,Donald Driver,O,WR,94,,222.l.790872
96,5036,Thomas Jones,O,RB,97,,222.l.790872
97,5463,Santana Moss,O,WR,78,,222.l.790872
98,5900,Jeremy Shockey,O,TE,81,,222.l.790872
99,5942,Ladell Betts,O,RB,4,,222.l.790872
100,6407,Nate Burleson,O,WR,63,,222.l.790872
101,6427,Visanthe Shiancoe,O,TE,85,,222.l.790872
102,6763,Philip Rivers,O,QB,99,,222.l.790872
103,6766,Roy Williams,O,WR,79,,222.l.790872
104,6802,Julius Jones,O,RB,59,,222.l.790872
105,6824,Nate Kaeding,K,K,93,,222.l.790872
106,6837,Bernard Berrian,O,WR,63,,222.l.790872
107,6849,Matt Schaub,O,QB,97,,222.l.790872
108,6867,Jerricho Cotchery,O,WR,72,,222.l.790872
109,6913,Michael Turner,O,RB,94,,222.l.790872
110,7022,Lawrence Tynes,K,K,76,,222.l.790872
111,7178,Ronnie Brown,O,RB,33,,222.l.790872
112,7180,Cedric Benson,O,RB,96,,222.l.790872
113,7200,Aaron Rodgers,O,QB,99,,222.l.790872
114,7203,Roddy White,O,WR,99,,222.l.790872
115,7237,Vincent Jackson,O,WR,98,,222.l.790872
116,7253,Ryan Moats,O,RB,24,,222.l.790872
117,7282,Kyle Orton,O,QB,64,,222.l.790872
118,7286,Brandon Jacobs,O,RB,93,,222.l.790872
119,7306,Darren Sproles,O,RB,75,,222.l.790872
120,7434,Rob Bironas,K,K,82,,222.l.790872
121,7755,Vernon Davis,O,TE,96,,222.l.790872
122,7776,DeAngelo Williams,O,RB,98,,222.l.790872
123,7806,Devin Hester,O,WR,71,,222.l.790872
124,8021,Miles Austin,O,WR,96,,222.l.790872
125,8281,Robert Meachem,O,WR,76,,222.l.790872
126,8285,Greg Olsen,O,TE,83,,222.l.790872
127,8298,Sidney Rice,O,WR,93,,222.l.790872
128,8305,Steve Smith,O,WR,94,,222.l.790872
129,8333,Mike Sims-Walker,O,WR,88,,222.l.790872
130,8396,Steve Breaston,O,WR,66,,222.l.790872
131,8407,Kevin Boss,O,TE,48,,222.l.790872
132,8416,Brent Celek,O,TE,90,,222.l.790872
133,8504,Ahmad Bradshaw,O,RB,66,,222.l.790872
134,8561,Pierre Thomas,O,RB,93,,222.l.790872
135,8565,Matt Prater,K,K,56,,222.l.790872
136,8790,Jonathan Stewart,O,RB,85,,222.l.790872
137,8795,Joe Flacco,O,QB,79,,222.l.790872
138,8800,Rashard Mendenhall,O,RB,91,,222.l.790872
139,8801,Chris Johnson,O,RB,99,,222.l.790872
140,8821,Matt Forte,O,RB,96,,222.l.790872
141,8826,DeSean Jackson,O,WR,98,,222.l.790872
142,8832,Ray Rice,O,RB,96,,222.l.790872
143,8841,Kevin Smith,O,RB,61,,222.l.790872
144,8866,Steve Slaton,O,RB,55,,222.l.790872
145,8872,Mario Manningham,O,WR,71,,222.l.790872
146,8926,Tim Hightower,O,RB,81,,222.l.790872
147,9010,Justin Forsett,O,RB,57,,222.l.790872
148,9222,Garrett Hartley,K,K,53,,222.l.790872
149,9283,Jeremy Maclin,O,WR,54,,222.l.790872
150,9286,Percy Harvin,O,WR,92,,222.l.790872
151,9293,Hakeem Nicks,O,WR,73,,222.l.790872
152,9348,Mike Wallace,O,WR,40,,222.l.790872
153,100003,Chicago,DT,DEF,53,,222.l.790872
154,100007,Denver,DT,DEF,70,,222.l.790872
155,100018,New Orleans,DT,DEF,92,,222.l.790872
157,100021,Philadelphia,DT,DEF,96,,222.l.790872
158,100022,Arizona,DT,DEF,72,,222.l.790872
159,100025,San Francisco,DT,DEF,71,,222.l.790872
160,100033,Baltimore,DT,DEF,95,,222.l.790872
161,3727,Adam Vinatieri,K,K,76,,242.l.438659
162,4157,Jon Kitna,O,QB,49,,242.l.438659
163,5046,Sebastian Janikowski,K,K,86,,242.l.438659
164,5198,Neil Rackers,K,K,46,,242.l.438659
165,5448,Mike Vick,O,QB,95,,242.l.438659
166,5478,Todd Heap,O,TE,55,,242.l.438659
167,6243,Matt Bryant,K,K,84,,242.l.438659
168,6460,Brandon Lloyd,O,WR,96,,242.l.438659
169,6760,Eli Manning,O,QB,94,,242.l.438659
170,6896,Josh Scobee,K,K,61,,242.l.438659
171,7149,Malcom Floyd,O,WR,78,,242.l.438659
172,7406,Matt Cassel,O,QB,62,,242.l.438659
173,7544,Lance Moore,O,WR,64,,242.l.438659
174,7777,Marcedes Lewis,O,TE,90,,242.l.438659
175,8063,Fred Jackson,O,RB,79,,242.l.438659
176,8277,Dwayne Bowe,O,WR,98,,242.l.438659
177,8317,Brandon Jackson,O,RB,66,,242.l.438659
178,8780,Matt Ryan,O,QB,94,,242.l.438659
179,8781,Darren McFadden,O,RB,96,,242.l.438659
180,8850,Jamaal Charles,O,RB,98,,242.l.438659
181,8905,Ryan Torain,O,RB,64,,242.l.438659
182,8916,Jacob Tamme,O,TE,87,,242.l.438659
183,8982,Pierre Garcon,O,WR,90,,242.l.438659
184,9001,Stevie Johnson,O,WR,89,,242.l.438659
185,9004,Peyton Hillis,O,RB,96,,242.l.438659
186,9032,Dan Carpenter,K,K,76,,242.l.438659
187,9039,BenJarvus Green-Ellis,O,RB,86,,242.l.438659
188,9043,Mike Tolbert,O,RB,83,,242.l.438659
189,9269,Mark Sanchez,O,QB,60,,242.l.438659
190,9276,Knowshon Moreno,O,RB,91,,242.l.438659
191,9284,Brandon Pettigrew,O,TE,59,,242.l.438659
192,9294,Kenny Britt,O,WR,73,,242.l.438659
193,9317,LeSean McCoy,O,RB,98,,242.l.438659
194,9391,Austin Collie,O,WR,65,,242.l.438659
195,9436,David Buehler,K,K,25,,242.l.438659
196,9527,Arian Foster,O,RB,99,,242.l.438659
197,9560,Danny Woodhead,O,WR,83,,242.l.438659
198,9560,Danny Woodhead,O,RB,83,,242.l.438659
199,23987,Ryan Mathews,O,RB,78,,242.l.438659
200,24005,Jahvid Best,O,RB,84,,242.l.438659
201,24017,Rob Gronkowski,O,TE,55,,242.l.438659
202,24076,Mike Williams,O,WR,87,,242.l.438659
203,24088,Aaron Hernandez,O,TE,60,,242.l.438659
204,24175,Joe Webb III,O,QB,40,,242.l.438659
205,24175,Joe Webb III,O,WR,40,,242.l.438659
206,24318,LeGarrette Blount,O,RB,79,,242.l.438659
207,24611,Keiland Williams,O,RB,23,,242.l.438659
208,100015,Miami,DT,DEF,48,,242.l.438659
209,1111,John Kasay,K,K,84,,257.l.211725
210,2034,Jason Hanson,K,K,68,,257.l.211725
211,5919,Jabar Gaffney,O,WR,58,,257.l.211725
212,7223,Mike Nugent,K,K,30,,257.l.211725
213,7492,Nate Washington,O,WR,76,,257.l.211725
214,7760,Jay Cutler,O,QB,34,,257.l.211725
215,7847,Owen Daniels,O,TE,82,,257.l.211725
216,8329,Laurent Robinson,O,WR,85,,257.l.211725
217,8354,Michael Bush,O,RB,94,,257.l.211725
218,8799,Felix Jones,O,RB,84,,257.l.211725
219,8813,Jordy Nelson,O,WR,96,,257.l.211725
220,8825,Fred Davis,O,TE,33,,257.l.211725
221,8868,Jermichael Finley,O,TE,98,,257.l.211725
222,9265,Matthew Stafford,O,QB,97,,257.l.211725
223,9271,Darrius Heyward-Bey,O,WR,32,,257.l.211725
224,9274,Michael Crabtree,O,WR,61,,257.l.211725
225,9295,Beanie Wells,O,RB,93,,257.l.211725
226,9329,Shonn Greene,O,RB,96,,257.l.211725
227,23984,C.J. Spiller,O,RB,75,,257.l.211725
228,23997,Demaryius Thomas,O,WR,41,,257.l.211725
229,23999,Dez Bryant,O,WR,99,,257.l.211725
230,24000,Tim Tebow,O,QB,74,,257.l.211725
231,24011,Dexter McCluster,O,WR,38,,257.l.211725
232,24011,Dexter McCluster,O,RB,38,,257.l.211725
233,24070,Jimmy Graham,O,TE,99,,257.l.211725
234,24171,Antonio Brown,O,WR,85,,257.l.211725
235,24272,David Nelson,O,WR,41,,257.l.211725
236,24550,Jake Ballard,O,TE,39,,257.l.211725
237,24553,Victor Cruz,O,WR,94,,257.l.211725
238,24788,Cam Newton,O,QB,97,,257.l.211725
239,24791,A.J. Green,O,WR,95,,257.l.211725
240,24793,Julio Jones,O,WR,90,,257.l.211725
241,24845,Torrey Smith,O,WR,77,,257.l.211725
242,24892,Roy Helu Jr.,O,RB,80,,257.l.211725
243,25427,Dan Bailey,K,K,90,,257.l.211725
244,100004,Cincinnati,DT,DEF,68,,257.l.211725
245,100008,Detroit,DT,DEF,81,,257.l.211725
246,100034,Houston,DT,DEF,82,,257.l.211725
247,4269,Phil Dawson,K,K,22,,273.l.324073
248,8332,James Jones,O,WR,87,,273.l.324073
249,8383,Scott Chandler,O,TE,35,,273.l.324073
250,8739,Jackie Battle,O,RB,14,,273.l.324073
251,9037,Danny Amendola,O,WR,69,,273.l.324073
252,9219,Connor Barth,K,K,48,,273.l.324073
253,9466,Brandon Myers,O,TE,58,,273.l.324073
254,23996,Jermaine Gresham,O,TE,87,,273.l.324073
255,24035,Golden Tate,O,WR,42,,273.l.324073
256,24062,Eric Decker,O,WR,97,,273.l.324073
257,24757,Danario Alexander,O,WR,66,,273.l.324073
258,24822,Andy Dalton,O,QB,80,,273.l.324073
259,24844,Mikel Leshoure,O,RB,86,,273.l.324073
260,24851,Randall Cobb,O,WR,95,,273.l.324073
261,24858,DeMarco Murray,O,RB,96,,273.l.324073
262,24860,Stevan Ridley,O,RB,96,,273.l.324073
263,24901,Cecil Shorts III,O,WR,74,,273.l.324073
264,24932,Jacquizz Rodgers,O,RB,55,,273.l.324073
265,24935,Denarius Moore,O,WR,79,,273.l.324073
266,25711,Andrew Luck,O,QB,92,,273.l.324073
267,25712,Robert Griffin III,O,QB,98,,273.l.324073
268,25713,Trent Richardson,O,RB,98,,273.l.324073
269,25741,Doug Martin,O,RB,99,,273.l.324073
270,25742,David Wilson,O,RB,69,,273.l.324073
271,25802,T.Y. Hilton,O,WR,74,,273.l.324073
272,25880,Vick Ballard,O,RB,57,,273.l.324073
273,25883,Alfred Morris,O,RB,96,,273.l.324073
274,26534,Justin Tucker,K,K,73,,273.l.324073
275,26561,Josh Gordon,O,WR,56,,273.l.324073
276,100001,Atlanta,DT,DEF,60,,273.l.324073
277,8838,Martellus Bennett,O,TE,86,,314.l.378899
278,8861,Harry Douglas,O,WR,76,,314.l.378899
279,9066,Stephen Hauschka,K,K,81,,314.l.378899
280,9393,Andre Brown,O,RB,80,,314.l.378899
281,9496,Julian Edelman,O,WR,86,,314.l.378899
282,9514,Rashad Jennings,O,RB,77,,314.l.378899
283,9520,Ryan Succop,K,K,33,,314.l.378899
284,24026,Toby Gerhart,O,RB,20,,314.l.378899
285,24135,Riley Cooper,O,WR,80,,314.l.378899
286,24843,Shane Vereen,O,RB,81,,314.l.378899
287,24889,Jordan Cameron,O,TE,84,,314.l.378899
288,24916,Julius Thomas,O,TE,97,,314.l.378899
289,25723,Michael Floyd,O,WR,77,,314.l.378899
290,25744,Coby Fleener,O,TE,66,,314.l.378899
291,25755,Alshon Jeffery,O,WR,96,,314.l.378899
292,25773,Rueben Randle,O,WR,63,,314.l.378899
293,25785,Russell Wilson,O,QB,97,,314.l.378899
294,25798,Nick Foles,O,QB,89,,314.l.378899
295,25820,Ladarius Green,O,TE,12,,314.l.378899
296,26631,Tavon Austin,O,WR,61,,314.l.378899
297,26652,Cordarrelle Patterson,O,WR,45,,314.l.378899
298,26660,Giovani Bernard,O,RB,94,,314.l.378899
299,26671,Le'Veon Bell,O,RB,90,,314.l.378899
300,26681,Montee Ball,O,RB,63,,314.l.378899
301,26684,Eddie Lacy,O,RB,98,,314.l.378899
302,26697,Terrance Williams,O,WR,43,,314.l.378899
303,26699,Keenan Allen,O,WR,90,,314.l.378899
304,26708,Jordan Reed,O,TE,40,,314.l.378899
305,26774,Joseph Randle,O,RB,4,,314.l.378899
306,26783,Zac Stacy,O,RB,90,,314.l.378899
307,27311,Dennis Johnson,O,RB,24,,314.l.378899
308,100002,Buffalo,DT,DEF,42,,314.l.378899
309,100005,Cleveland,DT,DEF,43,,314.l.378899
310,100012,Kansas City,DT,DEF,96,,314.l.378899
312,100029,Carolina,DT,DEF,90,,314.l.378899
313,7177,Alex Smith,O,QB,41,,331.l.329823
314,7924,Delanie Walker,O,TE,84,,331.l.329823
315,24053,Brandon LaFell,O,WR,81,,331.l.329823
316,24057,Emmanuel Sanders,O,WR,98,,331.l.329823
317,24169,James Starks,O,RB,20,,331.l.329823
318,24262,Joique Bell,O,RB,94,,331.l.329823
319,24400,Chris Ivory,O,RB,69,,331.l.329823
320,24815,Mark Ingram II,O,RB,93,,331.l.329823
321,24823,Colin Kaepernick,O,QB,78,,331.l.329823
322,25105,Doug Baldwin,O,WR,37,,331.l.329823
323,25718,Ryan Tannehill,O,QB,71,,331.l.329823
324,25774,Dwayne Allen,O,TE,68,,331.l.329823
325,25793,Mohamed Sanu Sr.,O,WR,70,,331.l.329823
326,25807,Lamar Miller,O,RB,92,,331.l.329823
327,25901,Daniel Herron,O,RB,61,,331.l.329823
328,26273,Jonas Gray,O,RB,37,,331.l.329823
329,26650,DeAndre Hopkins,O,WR,91,,331.l.329823
330,26664,Robert Woods,O,WR,10,,331.l.329823
331,26686,Travis Kelce,O,TE,83,,331.l.329823
332,26719,Knile Davis,O,RB,44,,331.l.329823
333,26767,Kenny Stills,O,WR,73,,331.l.329823
334,26804,Latavius Murray,O,RB,56,,331.l.329823
335,26807,Mychal Rivera,O,TE,27,,331.l.329823
336,26839,Charles Johnson,O,WR,37,,331.l.329823
